lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 2
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(70,4,4,6).pt
eval_n_bays: 4
eval_n_rows: 4
empty_priority: None
n_containers: 70
n_bays: 4
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250224_134507
--------------------
Epoch: 0 | Train loss: None | Eval WT: 16284.473 | Eval moves: 174.787 | 2s
Epoch: 1 | Train loss: -5292.537653918075 | Eval WT: 10163.092 | Eval moves: 119.818 | 716s
Epoch: 2 | Train loss: -1378.641139033161 | Eval WT: 9454.352 | Eval moves: 115.794 | 289s
Epoch: 3 | Train loss: -1091.8458667658174 | Eval WT: 8865.949 | Eval moves: 114.562 | 269s
Epoch: 4 | Train loss: -1166.6430256016806 | Eval WT: 8323.169 | Eval moves: 117.188 | 271s
Epoch: 5 | Train loss: -1240.0212181550578 | Eval WT: 7847.558 | Eval moves: 123.009 | 288s
Epoch: 6 | Train loss: -1298.2972182677556 | Eval WT: 7557.052 | Eval moves: 129.146 | 321s
Epoch: 7 | Train loss: -1197.8350096405788 | Eval WT: 7415.937 | Eval moves: 131.331 | 339s
Epoch: 8 | Train loss: -1079.7854054790507 | Eval WT: 7343.705 | Eval moves: 132.539 | 347s
Epoch: 9 | Train loss: -1007.306698691554 | Eval WT: 7305.957 | Eval moves: 132.613 | 349s
Epoch: 10 | Train loss: -961.1050354707497 | Eval WT: 7282.869 | Eval moves: 132.253 | 350s
Epoch: 11 | Train loss: -901.1507021305948 | Eval WT: 7255.277 | Eval moves: 132.414 | 386s
Epoch: 12 | Train loss: -872.3579574726028 | Eval WT: 7244.738 | Eval moves: 132.4 | 348s
Epoch: 13 | Train loss: -854.8584366220375 | Eval WT: 7232.539 | Eval moves: 132.364 | 349s
Epoch: 14 | Train loss: -813.0406424158853 | Eval WT: 7219.125 | Eval moves: 132.779 | 346s
Epoch: 15 | Train loss: -801.4000604185152 | Eval WT: 7210.427 | Eval moves: 132.719 | 350s
Epoch: 16 | Train loss: -768.8790382257423 | Eval WT: 7201.075 | Eval moves: 132.742 | 346s
Epoch: 17 | Train loss: -752.7809505613545 | Eval WT: 7193.867 | Eval moves: 132.288 | 345s
Epoch: 18 | Train loss: -732.0709999363546 | Eval WT: 7193.202 | Eval moves: 132.004 | 347s
Epoch: 19 | Train loss: -720.9186402644309 | Eval WT: 7175.869 | Eval moves: 132.35 | 344s
Epoch: 20 | Train loss: -700.7210650960436 | Eval WT: 7174.572 | Eval moves: 132.167 | 343s
Epoch: 21 | Train loss: -672.3932364857059 | Eval WT: 7161.632 | Eval moves: 132.123 | 382s
Epoch: 22 | Train loss: -653.3694911048658 | Eval WT: 7165.597 | Eval moves: 132.13 | 346s
Epoch: 23 | Train loss: -632.1783406576037 | Eval WT: 7163.578 | Eval moves: 132.201 | 344s
Epoch: 24 | Train loss: -618.9719744709631 | Eval WT: 7153.083 | Eval moves: 132.159 | 344s
Epoch: 25 | Train loss: -603.2735220207595 | Eval WT: 7147.758 | Eval moves: 132.048 | 345s
Epoch: 26 | Train loss: -579.6681062441771 | Eval WT: 7141.235 | Eval moves: 132.172 | 342s
Epoch: 27 | Train loss: -563.0127675976602 | Eval WT: 7142.553 | Eval moves: 131.954 | 341s
Epoch: 28 | Train loss: -550.733758178872 | Eval WT: 7139.953 | Eval moves: 132.148 | 341s
