lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(35,1,8,6).pt
eval_n_bays: 1
eval_n_rows: 8
empty_priority: None
n_containers: 35
n_bays: 1
n_rows: 8
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250223_195222
--------------------
Epoch: 0 | Train loss: None | Eval WT: 3043.624 | Eval moves: 80.222 | 1s
Epoch: 1 | Train loss: -817.7498501455127 | Eval WT: 2419.761 | Eval moves: 62.438 | 261s
Epoch: 2 | Train loss: -271.70397329192826 | Eval WT: 2367.669 | Eval moves: 61.125 | 142s
Epoch: 3 | Train loss: -130.830139170021 | Eval WT: 2331.538 | Eval moves: 60.461 | 131s
Epoch: 4 | Train loss: -96.27793371955944 | Eval WT: 2310.809 | Eval moves: 60.144 | 129s
Epoch: 5 | Train loss: -82.19764212999594 | Eval WT: 2297.554 | Eval moves: 59.898 | 128s
Epoch: 6 | Train loss: -71.90420036552393 | Eval WT: 2291.555 | Eval moves: 59.806 | 126s
Epoch: 7 | Train loss: -62.255864473053826 | Eval WT: 2284.316 | Eval moves: 59.641 | 126s
Epoch: 8 | Train loss: -59.02721183795428 | Eval WT: 2277.312 | Eval moves: 59.472 | 124s
Epoch: 9 | Train loss: -54.167282412117956 | Eval WT: 2272.925 | Eval moves: 59.352 | 121s
Epoch: 10 | Train loss: -50.07431881064832 | Eval WT: 2271.347 | Eval moves: 59.317 | 120s
Epoch: 11 | Train loss: -48.2641690015287 | Eval WT: 2269.269 | Eval moves: 59.242 | 156s
Epoch: 12 | Train loss: -45.47682761701425 | Eval WT: 2266.281 | Eval moves: 59.217 | 120s
Epoch: 13 | Train loss: -44.25708309515959 | Eval WT: 2263.774 | Eval moves: 59.136 | 121s
Epoch: 14 | Train loss: -42.09336354245131 | Eval WT: 2263.346 | Eval moves: 59.115 | 121s
Epoch: 15 | Train loss: -40.96858031923424 | Eval WT: 2260.618 | Eval moves: 59.064 | 121s
Epoch: 16 | Train loss: -39.82567713990782 | Eval WT: 2258.552 | Eval moves: 59.015 | 119s
Epoch: 17 | Train loss: -38.89912321193215 | Eval WT: 2257.208 | Eval moves: 59.004 | 119s
Epoch: 18 | Train loss: -37.56300129620338 | Eval WT: 2256.199 | Eval moves: 58.976 | 118s
Epoch: 19 | Train loss: -35.56164984133523 | Eval WT: 2256.007 | Eval moves: 58.94 | 120s
Epoch: 20 | Train loss: -35.608943779247696 | Eval WT: 2254.393 | Eval moves: 58.943 | 118s
Epoch: 21 | Train loss: -35.35408768450956 | Eval WT: 2252.963 | Eval moves: 58.888 | 156s
Epoch: 22 | Train loss: -34.500050074537064 | Eval WT: 2252.776 | Eval moves: 58.889 | 119s
Epoch: 23 | Train loss: -33.94259889665214 | Eval WT: 2252.325 | Eval moves: 58.88 | 119s
Epoch: 24 | Train loss: -32.61409297505919 | Eval WT: 2251.556 | Eval moves: 58.868 | 119s
Epoch: 25 | Train loss: -31.543680571019994 | Eval WT: 2251.171 | Eval moves: 58.852 | 117s
Epoch: 26 | Train loss: -33.2130349215186 | Eval WT: 2251.182 | Eval moves: 58.85 | 120s
Epoch: 27 | Train loss: -30.9449842154405 | Eval WT: 2250.398 | Eval moves: 58.856 | 116s
Epoch: 28 | Train loss: -31.160551010185326 | Eval WT: 2249.9 | Eval moves: 58.832 | 116s
Epoch: 29 | Train loss: -30.837146417379355 | Eval WT: 2249.3 | Eval moves: 58.812 | 117s
Epoch: 30 | Train loss: -30.593434890304984 | Eval WT: 2247.935 | Eval moves: 58.788 | 118s
Epoch: 31 | Train loss: -29.713911044938413 | Eval WT: 2247.479 | Eval moves: 58.779 | 155s
Epoch: 32 | Train loss: -29.674061379489316 | Eval WT: 2248.068 | Eval moves: 58.789 | 118s
Epoch: 33 | Train loss: -29.447520259586753 | Eval WT: 2247.195 | Eval moves: 58.788 | 118s
Epoch: 34 | Train loss: -29.194964084037025 | Eval WT: 2246.98 | Eval moves: 58.785 | 118s
Epoch: 35 | Train loss: -29.088861966899103 | Eval WT: 2246.877 | Eval moves: 58.75 | 117s
Epoch: 36 | Train loss: -28.221385437629756 | Eval WT: 2246.816 | Eval moves: 58.746 | 117s
Epoch: 37 | Train loss: -28.05794966431201 | Eval WT: 2246.156 | Eval moves: 58.739 | 116s
Epoch: 38 | Train loss: -28.110938248244928 | Eval WT: 2245.444 | Eval moves: 58.743 | 117s
Epoch: 39 | Train loss: -27.41071205240489 | Eval WT: 2245.335 | Eval moves: 58.715 | 116s
Epoch: 40 | Train loss: -27.002986737772332 | Eval WT: 2244.777 | Eval moves: 58.707 | 118s
Epoch: 41 | Train loss: -27.65812865011384 | Eval WT: 2245.303 | Eval moves: 58.731 | 153s
Epoch: 42 | Train loss: -26.40006161443051 | Eval WT: 2245.259 | Eval moves: 58.741 | 117s
Epoch: 43 | Train loss: -26.353166812269073 | Eval WT: 2244.95 | Eval moves: 58.727 | 116s
Epoch: 44 | Train loss: -25.481670915918926 | Eval WT: 2244.659 | Eval moves: 58.69 | 117s
Epoch: 45 | Train loss: -26.531555017161118 | Eval WT: 2243.664 | Eval moves: 58.662 | 117s
Epoch: 46 | Train loss: -25.837517995593704 | Eval WT: 2243.996 | Eval moves: 58.705 | 117s
Epoch: 47 | Train loss: -25.220490600396975 | Eval WT: 2243.972 | Eval moves: 58.72 | 115s
Epoch: 48 | Train loss: -25.490021461348842 | Eval WT: 2244.023 | Eval moves: 58.688 | 115s
Epoch: 49 | Train loss: -24.67166970061886 | Eval WT: 2243.382 | Eval moves: 58.686 | 115s
Epoch: 50 | Train loss: -23.895678227400193 | Eval WT: 2243.981 | Eval moves: 58.7 | 116s
Epoch: 51 | Train loss: -25.122797940953678 | Eval WT: 2243.041 | Eval moves: 58.698 | 154s
Epoch: 52 | Train loss: -24.56648686117662 | Eval WT: 2242.907 | Eval moves: 58.672 | 118s
Epoch: 53 | Train loss: -24.383826491043834 | Eval WT: 2242.608 | Eval moves: 58.688 | 116s
Epoch: 54 | Train loss: -24.30639018287476 | Eval WT: 2242.227 | Eval moves: 58.668 | 117s
Epoch: 55 | Train loss: -23.88440166779745 | Eval WT: 2242.216 | Eval moves: 58.687 | 115s
Epoch: 56 | Train loss: -23.89375993250208 | Eval WT: 2241.352 | Eval moves: 58.649 | 115s
Epoch: 57 | Train loss: -24.183898373814724 | Eval WT: 2242.206 | Eval moves: 58.67 | 116s
Epoch: 58 | Train loss: -23.45261356505063 | Eval WT: 2241.361 | Eval moves: 58.657 | 117s
Epoch: 59 | Train loss: -23.506767608686904 | Eval WT: 2241.038 | Eval moves: 58.63 | 114s
Epoch: 60 | Train loss: -23.237712754791406 | Eval WT: 2241.23 | Eval moves: 58.634 | 115s
Epoch: 61 | Train loss: -23.42759128510969 | Eval WT: 2240.47 | Eval moves: 58.634 | 154s
Epoch: 62 | Train loss: -22.963964301199958 | Eval WT: 2240.327 | Eval moves: 58.636 | 117s
Epoch: 63 | Train loss: -23.117670098481568 | Eval WT: 2240.416 | Eval moves: 58.644 | 115s
Epoch: 64 | Train loss: -22.59932972200652 | Eval WT: 2240.555 | Eval moves: 58.622 | 115s
Epoch: 65 | Train loss: -22.178729425111428 | Eval WT: 2240.47 | Eval moves: 58.618 | 116s
Epoch: 66 | Train loss: -22.42689249332343 | Eval WT: 2239.9 | Eval moves: 58.611 | 115s
Epoch: 67 | Train loss: -22.081428123932042 | Eval WT: 2239.625 | Eval moves: 58.609 | 114s
Epoch: 68 | Train loss: -21.510325952069948 | Eval WT: 2238.757 | Eval moves: 58.581 | 114s
Epoch: 69 | Train loss: -21.64453489095271 | Eval WT: 2239.562 | Eval moves: 58.6 | 115s
Epoch: 70 | Train loss: -22.112920778363417 | Eval WT: 2239.152 | Eval moves: 58.594 | 115s
Epoch: 71 | Train loss: -21.664586454141258 | Eval WT: 2239.369 | Eval moves: 58.587 | 153s
Epoch: 72 | Train loss: -21.112541558291863 | Eval WT: 2239.201 | Eval moves: 58.588 | 113s
Epoch: 73 | Train loss: -21.647497727737203 | Eval WT: 2238.218 | Eval moves: 58.569 | 114s
Epoch: 74 | Train loss: -21.046114384215315 | Eval WT: 2238.15 | Eval moves: 58.556 | 116s
Epoch: 75 | Train loss: -20.88363537771194 | Eval WT: 2238.205 | Eval moves: 58.566 | 115s
Epoch: 76 | Train loss: -20.781865782687657 | Eval WT: 2237.817 | Eval moves: 58.552 | 114s
Epoch: 77 | Train loss: -20.903490539050026 | Eval WT: 2238.179 | Eval moves: 58.592 | 115s
Epoch: 78 | Train loss: -20.98047411626203 | Eval WT: 2237.5 | Eval moves: 58.545 | 115s
Epoch: 79 | Train loss: -20.65113998961885 | Eval WT: 2237.291 | Eval moves: 58.547 | 115s
Epoch: 80 | Train loss: -20.728691393652202 | Eval WT: 2237.419 | Eval moves: 58.563 | 114s
Epoch: 81 | Train loss: -20.84006695621127 | Eval WT: 2237.77 | Eval moves: 58.563 | 151s
Epoch: 82 | Train loss: -20.42398375970247 | Eval WT: 2236.936 | Eval moves: 58.54 | 114s
Epoch: 83 | Train loss: -20.256001972977796 | Eval WT: 2236.542 | Eval moves: 58.521 | 114s
Epoch: 84 | Train loss: -20.330797844036848 | Eval WT: 2236.691 | Eval moves: 58.547 | 113s
Epoch: 85 | Train loss: -20.324475272048694 | Eval WT: 2237.275 | Eval moves: 58.553 | 113s
Epoch: 86 | Train loss: -20.232512512560255 | Eval WT: 2236.467 | Eval moves: 58.536 | 115s
Epoch: 87 | Train loss: -19.97367679421974 | Eval WT: 2236.165 | Eval moves: 58.534 | 116s
Epoch: 88 | Train loss: -20.104978068465403 | Eval WT: 2237.47 | Eval moves: 58.563 | 115s
Epoch: 89 | Train loss: -19.87199760073144 | Eval WT: 2235.83 | Eval moves: 58.497 | 115s
Epoch: 90 | Train loss: -19.046348793069857 | Eval WT: 2237.053 | Eval moves: 58.528 | 114s
Epoch: 91 | Train loss: -19.307268922587774 | Eval WT: 2237.093 | Eval moves: 58.558 | 153s
Epoch: 92 | Train loss: -19.436751359220708 | Eval WT: 2236.264 | Eval moves: 58.527 | 113s
