lr: 5e-07
epochs: 500
batch_size: 64
batch_num: 100
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
empty_priority: 999
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250221_204204
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5612.676 | Eval moves: 77.977 | 1s
Epoch: 1 | Train loss: -2574.06627818003 | Eval WT: 4822.26 | Eval moves: 68.293 | 265s
Epoch: 2 | Train loss: -2305.8300430733634 | Eval WT: 4550.526 | Eval moves: 65.444 | 190s
Epoch: 3 | Train loss: -2024.864847926497 | Eval WT: 4439.94 | Eval moves: 64.073 | 182s
Epoch: 4 | Train loss: -1826.798635770807 | Eval WT: 4360.291 | Eval moves: 63.123 | 176s
Epoch: 5 | Train loss: -1641.6508211001421 | Eval WT: 4287.268 | Eval moves: 62.418 | 173s
Epoch: 6 | Train loss: -1504.7628988224003 | Eval WT: 4254.91 | Eval moves: 62.027 | 168s
Epoch: 7 | Train loss: -1366.2096499824493 | Eval WT: 4223.976 | Eval moves: 61.727 | 164s
Epoch: 8 | Train loss: -1264.5677639873136 | Eval WT: 4220.073 | Eval moves: 61.591 | 161s
Epoch: 9 | Train loss: -1136.930965945103 | Eval WT: 4208.785 | Eval moves: 61.506 | 155s
Epoch: 10 | Train loss: -1024.1948646749595 | Eval WT: 4185.343 | Eval moves: 61.385 | 151s
Epoch: 11 | Train loss: -892.7099011953959 | Eval WT: 4181.364 | Eval moves: 61.336 | 189s
Epoch: 12 | Train loss: -820.3074259086846 | Eval WT: 4178.264 | Eval moves: 61.287 | 148s
Epoch: 13 | Train loss: -732.909418663326 | Eval WT: 4164.343 | Eval moves: 61.184 | 143s
Epoch: 14 | Train loss: -673.4551908967773 | Eval WT: 4156.835 | Eval moves: 61.143 | 145s
Epoch: 15 | Train loss: -620.452673119913 | Eval WT: 4148.06 | Eval moves: 61.123 | 141s
Epoch: 16 | Train loss: -572.3478840586799 | Eval WT: 4141.943 | Eval moves: 61.077 | 140s
Epoch: 17 | Train loss: -532.7226423084953 | Eval WT: 4138.03 | Eval moves: 61.064 | 139s
Epoch: 18 | Train loss: -496.7177734960817 | Eval WT: 4133.294 | Eval moves: 61.03 | 137s
Epoch: 19 | Train loss: -475.9338771529687 | Eval WT: 4124.586 | Eval moves: 61.002 | 136s
Epoch: 20 | Train loss: -447.64914438166693 | Eval WT: 4117.901 | Eval moves: 60.985 | 136s
Epoch: 21 | Train loss: -428.77267375678787 | Eval WT: 4110.135 | Eval moves: 60.961 | 175s
Epoch: 22 | Train loss: -395.78954157888984 | Eval WT: 4105.922 | Eval moves: 60.935 | 134s
Epoch: 23 | Train loss: -374.2120964075095 | Eval WT: 4102.495 | Eval moves: 60.918 | 133s
Epoch: 24 | Train loss: -364.9479438371106 | Eval WT: 4093.669 | Eval moves: 60.891 | 133s
Epoch: 25 | Train loss: -355.08227990854357 | Eval WT: 4088.702 | Eval moves: 60.895 | 133s
Epoch: 26 | Train loss: -340.2023359301393 | Eval WT: 4081.273 | Eval moves: 60.9 | 132s
Epoch: 27 | Train loss: -340.1002052457714 | Eval WT: 4075.828 | Eval moves: 60.892 | 134s
Epoch: 28 | Train loss: -323.9890540687836 | Eval WT: 4067.389 | Eval moves: 60.859 | 133s
Epoch: 29 | Train loss: -317.9371451574514 | Eval WT: 4057.561 | Eval moves: 60.841 | 132s
Epoch: 30 | Train loss: -313.70844118245606 | Eval WT: 4046.818 | Eval moves: 60.822 | 131s
Epoch: 31 | Train loss: -306.94697395923987 | Eval WT: 4033.282 | Eval moves: 60.785 | 169s
Epoch: 32 | Train loss: -306.61158995744495 | Eval WT: 4029.274 | Eval moves: 60.793 | 129s
Epoch: 33 | Train loss: -294.8305525838614 | Eval WT: 4023.087 | Eval moves: 60.778 | 130s
Epoch: 34 | Train loss: -292.5041746920972 | Eval WT: 4013.56 | Eval moves: 60.755 | 129s
Epoch: 35 | Train loss: -301.2974639088409 | Eval WT: 4003.168 | Eval moves: 60.758 | 131s
Epoch: 36 | Train loss: -295.9007706640849 | Eval WT: 3986.191 | Eval moves: 60.772 | 130s
Epoch: 37 | Train loss: -293.4889204748538 | Eval WT: 3969.962 | Eval moves: 60.745 | 130s
Epoch: 38 | Train loss: -299.13169537073355 | Eval WT: 3958.208 | Eval moves: 60.741 | 131s
Epoch: 39 | Train loss: -297.767135918452 | Eval WT: 3950.115 | Eval moves: 60.75 | 130s
Epoch: 40 | Train loss: -310.7964092537578 | Eval WT: 3935.428 | Eval moves: 60.763 | 130s
Epoch: 41 | Train loss: -306.0177362488969 | Eval WT: 3917.081 | Eval moves: 60.73 | 168s
Epoch: 42 | Train loss: -310.7759461282392 | Eval WT: 3899.749 | Eval moves: 60.765 | 132s
Epoch: 43 | Train loss: -313.43142294530554 | Eval WT: 3884.872 | Eval moves: 60.794 | 130s
Epoch: 44 | Train loss: -317.4859344075379 | Eval WT: 3866.565 | Eval moves: 60.81 | 131s
Epoch: 45 | Train loss: -323.76438990986105 | Eval WT: 3851.995 | Eval moves: 60.858 | 130s
Epoch: 46 | Train loss: -328.17540797947464 | Eval WT: 3830.233 | Eval moves: 60.909 | 131s
Epoch: 47 | Train loss: -326.72608771433516 | Eval WT: 3806.525 | Eval moves: 60.97 | 131s
Epoch: 48 | Train loss: -340.1292117640533 | Eval WT: 3789.15 | Eval moves: 61.134 | 131s
Epoch: 49 | Train loss: -348.9337575093099 | Eval WT: 3772.564 | Eval moves: 61.249 | 134s
Epoch: 50 | Train loss: -358.6269247183045 | Eval WT: 3754.67 | Eval moves: 61.407 | 134s
Epoch: 51 | Train loss: -359.9210994696475 | Eval WT: 3735.375 | Eval moves: 61.482 | 172s
Epoch: 52 | Train loss: -368.1052672813897 | Eval WT: 3716.621 | Eval moves: 61.575 | 135s
Epoch: 53 | Train loss: -370.7470007157692 | Eval WT: 3703.282 | Eval moves: 61.717 | 136s
Epoch: 54 | Train loss: -370.6167911767381 | Eval WT: 3684.37 | Eval moves: 61.886 | 137s
Epoch: 55 | Train loss: -361.9422403412653 | Eval WT: 3673.802 | Eval moves: 62.095 | 139s
Epoch: 56 | Train loss: -360.45585730146144 | Eval WT: 3662.349 | Eval moves: 62.21 | 139s
Epoch: 57 | Train loss: -350.58298621037176 | Eval WT: 3648.9 | Eval moves: 62.338 | 138s
Epoch: 58 | Train loss: -350.5706116329869 | Eval WT: 3639.271 | Eval moves: 62.517 | 139s
Epoch: 59 | Train loss: -345.95974677749126 | Eval WT: 3628.213 | Eval moves: 62.709 | 142s
Epoch: 60 | Train loss: -342.4012522446002 | Eval WT: 3616.09 | Eval moves: 62.879 | 142s
Epoch: 61 | Train loss: -344.79703699662366 | Eval WT: 3603.07 | Eval moves: 63.031 | 180s
Epoch: 62 | Train loss: -336.77321310761164 | Eval WT: 3594.209 | Eval moves: 63.144 | 141s
Epoch: 63 | Train loss: -325.33102499271286 | Eval WT: 3584.667 | Eval moves: 63.244 | 142s
Epoch: 64 | Train loss: -325.91078459185104 | Eval WT: 3579.98 | Eval moves: 63.382 | 143s
Epoch: 65 | Train loss: -313.50384865794047 | Eval WT: 3575.633 | Eval moves: 63.594 | 144s
Epoch: 66 | Train loss: -326.77326606601645 | Eval WT: 3570.842 | Eval moves: 63.556 | 145s
Epoch: 67 | Train loss: -319.22249765914245 | Eval WT: 3555.284 | Eval moves: 63.562 | 143s
Epoch: 68 | Train loss: -314.71102857968094 | Eval WT: 3563.933 | Eval moves: 63.617 | 144s
Epoch: 69 | Train loss: -315.58800001149285 | Eval WT: 3557.666 | Eval moves: 63.597 | 145s
Epoch: 70 | Train loss: -313.70149786106106 | Eval WT: 3562.215 | Eval moves: 63.637 | 144s
Epoch: 71 | Train loss: -316.9192547525453 | Eval WT: 3559.634 | Eval moves: 63.647 | 183s
Epoch: 72 | Train loss: -315.4421248347561 | Eval WT: 3556.966 | Eval moves: 63.699 | 145s
Epoch: 73 | Train loss: -314.9149260945229 | Eval WT: 3555.381 | Eval moves: 63.648 | 145s
Epoch: 74 | Train loss: -307.9704318662055 | Eval WT: 3547.938 | Eval moves: 63.609 | 144s
Epoch: 75 | Train loss: -305.8998204866124 | Eval WT: 3551.158 | Eval moves: 63.644 | 143s
Epoch: 76 | Train loss: -306.5975641232596 | Eval WT: 3551.871 | Eval moves: 63.669 | 145s
Epoch: 77 | Train loss: -304.580140846994 | Eval WT: 3546.086 | Eval moves: 63.696 | 144s
Epoch: 78 | Train loss: -308.0535126659668 | Eval WT: 3547.79 | Eval moves: 63.722 | 145s
Epoch: 79 | Train loss: -301.2401770337613 | Eval WT: 3545.764 | Eval moves: 63.7 | 147s
Epoch: 80 | Train loss: -300.3675015928113 | Eval WT: 3545.43 | Eval moves: 63.712 | 145s
Epoch: 81 | Train loss: -296.476577698837 | Eval WT: 3543.471 | Eval moves: 63.765 | 184s
Epoch: 82 | Train loss: -296.7539202439239 | Eval WT: 3541.25 | Eval moves: 63.791 | 146s
Epoch: 83 | Train loss: -295.6732602912326 | Eval WT: 3536.768 | Eval moves: 63.822 | 146s
Epoch: 84 | Train loss: -289.9135823064704 | Eval WT: 3537.47 | Eval moves: 63.865 | 144s
Epoch: 85 | Train loss: -288.93405507443464 | Eval WT: 3537.798 | Eval moves: 63.892 | 146s
Epoch: 86 | Train loss: -286.46161127513693 | Eval WT: 3532.898 | Eval moves: 63.924 | 146s
Epoch: 87 | Train loss: -298.47169147105603 | Eval WT: 3533.621 | Eval moves: 63.934 | 144s
Epoch: 88 | Train loss: -286.48290617966785 | Eval WT: 3531.094 | Eval moves: 63.94 | 145s
Epoch: 89 | Train loss: -285.9322552680336 | Eval WT: 3525.366 | Eval moves: 63.925 | 144s
Epoch: 90 | Train loss: -284.80553124051147 | Eval WT: 3525.401 | Eval moves: 63.956 | 145s
Epoch: 91 | Train loss: -284.760148707288 | Eval WT: 3526.914 | Eval moves: 63.98 | 185s
Epoch: 92 | Train loss: -279.1705277456141 | Eval WT: 3521.829 | Eval moves: 64.016 | 147s
Epoch: 93 | Train loss: -280.81295356859715 | Eval WT: 3519.948 | Eval moves: 64.028 | 144s
Epoch: 94 | Train loss: -281.3079100730458 | Eval WT: 3520.026 | Eval moves: 64.021 | 145s
Epoch: 95 | Train loss: -273.44913174465125 | Eval WT: 3511.542 | Eval moves: 64.045 | 146s
Epoch: 96 | Train loss: -272.21503071548125 | Eval WT: 3512.321 | Eval moves: 64.053 | 147s
Epoch: 97 | Train loss: -275.2819142097992 | Eval WT: 3506.938 | Eval moves: 64.021 | 146s
Epoch: 98 | Train loss: -267.67095266542333 | Eval WT: 3506.581 | Eval moves: 64.037 | 147s
Epoch: 99 | Train loss: -268.42738811642556 | Eval WT: 3505.78 | Eval moves: 64.045 | 144s
Epoch: 100 | Train loss: -267.0816134991521 | Eval WT: 3503.907 | Eval moves: 64.089 | 144s
Epoch: 101 | Train loss: -260.2460442472161 | Eval WT: 3507.611 | Eval moves: 64.128 | 186s
Epoch: 102 | Train loss: -258.69901157383936 | Eval WT: 3503.483 | Eval moves: 64.139 | 146s
Epoch: 103 | Train loss: -257.3875508643691 | Eval WT: 3498.45 | Eval moves: 64.166 | 145s
Epoch: 104 | Train loss: -260.45170013970056 | Eval WT: 3500.284 | Eval moves: 64.183 | 146s
Epoch: 105 | Train loss: -257.51424764108265 | Eval WT: 3498.389 | Eval moves: 64.165 | 147s
Epoch: 106 | Train loss: -256.16481599173767 | Eval WT: 3492.207 | Eval moves: 64.162 | 147s
Epoch: 107 | Train loss: -256.6092080947945 | Eval WT: 3492.663 | Eval moves: 64.186 | 146s
Epoch: 108 | Train loss: -258.6556651849757 | Eval WT: 3486.11 | Eval moves: 64.227 | 149s
Epoch: 109 | Train loss: -249.18140779144684 | Eval WT: 3485.2 | Eval moves: 64.262 | 146s
Epoch: 110 | Train loss: -246.99231065119238 | Eval WT: 3488.592 | Eval moves: 64.308 | 146s
Epoch: 111 | Train loss: -249.22945122576704 | Eval WT: 3488.984 | Eval moves: 64.314 | 188s
Epoch: 112 | Train loss: -253.00474562385133 | Eval WT: 3478.271 | Eval moves: 64.297 | 147s
Epoch: 113 | Train loss: -243.83689135788103 | Eval WT: 3481.847 | Eval moves: 64.361 | 148s
Epoch: 114 | Train loss: -243.35187861831574 | Eval WT: 3480.289 | Eval moves: 64.333 | 147s
Epoch: 115 | Train loss: -240.13370777808788 | Eval WT: 3469.959 | Eval moves: 64.35 | 145s
Epoch: 116 | Train loss: -242.20517253788682 | Eval WT: 3478.62 | Eval moves: 64.328 | 147s
Epoch: 117 | Train loss: -234.13402737632134 | Eval WT: 3472.038 | Eval moves: 64.302 | 147s
Epoch: 118 | Train loss: -234.83548096187914 | Eval WT: 3472.888 | Eval moves: 64.296 | 146s
Epoch: 119 | Train loss: -228.84942912153224 | Eval WT: 3471.792 | Eval moves: 64.31 | 148s
Epoch: 120 | Train loss: -238.8137790257763 | Eval WT: 3470.515 | Eval moves: 64.403 | 149s
Epoch: 121 | Train loss: -232.0304306714417 | Eval WT: 3467.119 | Eval moves: 64.405 | 189s
Epoch: 122 | Train loss: -228.4702220437019 | Eval WT: 3467.135 | Eval moves: 64.396 | 147s
Epoch: 123 | Train loss: -224.8788134889126 | Eval WT: 3460.765 | Eval moves: 64.415 | 146s
Epoch: 124 | Train loss: -232.73480512448924 | Eval WT: 3465.814 | Eval moves: 64.481 | 149s
Epoch: 125 | Train loss: -227.66074123818743 | Eval WT: 3463.223 | Eval moves: 64.49 | 149s
Epoch: 126 | Train loss: -228.87901716112594 | Eval WT: 3457.428 | Eval moves: 64.516 | 148s
