lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data.pt
eval_n_bays: 2
eval_n_rows: 4
empty_priority: None
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250226_103132
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5813.457 | Eval moves: 83.15 | 1s
Epoch: 1 | Train loss: -1705.464575122973 | Eval WT: 4264.728 | Eval moves: 61.968 | 128s
Epoch: 2 | Train loss: -518.799783677818 | Eval WT: 4106.897 | Eval moves: 60.91 | 103s
Epoch: 3 | Train loss: -351.41291788249526 | Eval WT: 3921.368 | Eval moves: 60.099 | 98s
Epoch: 4 | Train loss: -346.895638692826 | Eval WT: 3724.885 | Eval moves: 60.192 | 96s
Epoch: 5 | Train loss: -368.15572436358707 | Eval WT: 3533.353 | Eval moves: 61.167 | 98s
Epoch: 6 | Train loss: -381.8207815294785 | Eval WT: 3353.202 | Eval moves: 63.183 | 103s
Epoch: 7 | Train loss: -375.8318134518377 | Eval WT: 3234.021 | Eval moves: 64.379 | 109s
Epoch: 8 | Train loss: -319.65027932646046 | Eval WT: 3182.641 | Eval moves: 65.299 | 111s
Epoch: 9 | Train loss: -267.4330946177737 | Eval WT: 3151.477 | Eval moves: 65.688 | 114s
Epoch: 10 | Train loss: -217.7247083646798 | Eval WT: 3136.704 | Eval moves: 65.681 | 114s
Epoch: 11 | Train loss: -195.18355203543902 | Eval WT: 3125.15 | Eval moves: 65.897 | 139s
Epoch: 12 | Train loss: -178.73889374619907 | Eval WT: 3116.299 | Eval moves: 65.662 | 115s
Epoch: 13 | Train loss: -163.6040836671277 | Eval WT: 3108.12 | Eval moves: 65.771 | 113s
Epoch: 14 | Train loss: -152.62795170541588 | Eval WT: 3104.704 | Eval moves: 65.538 | 113s
Epoch: 15 | Train loss: -145.1254716694445 | Eval WT: 3097.64 | Eval moves: 65.67 | 112s
Epoch: 16 | Train loss: -140.54143716269587 | Eval WT: 3091.637 | Eval moves: 65.722 | 113s
Epoch: 17 | Train loss: -134.12931457063357 | Eval WT: 3089.514 | Eval moves: 65.57 | 112s
Epoch: 18 | Train loss: -127.33457669390368 | Eval WT: 3084.991 | Eval moves: 65.555 | 112s
Epoch: 19 | Train loss: -121.9751141592697 | Eval WT: 3082.823 | Eval moves: 65.596 | 113s
Epoch: 20 | Train loss: -117.5078741583989 | Eval WT: 3080.854 | Eval moves: 65.597 | 112s
Epoch: 21 | Train loss: -112.54617561316296 | Eval WT: 3077.515 | Eval moves: 65.386 | 138s
Epoch: 22 | Train loss: -109.63802844924707 | Eval WT: 3077.181 | Eval moves: 65.508 | 111s
Epoch: 23 | Train loss: -107.24276357921454 | Eval WT: 3075.089 | Eval moves: 65.466 | 111s
Epoch: 24 | Train loss: -102.85755387997267 | Eval WT: 3073.847 | Eval moves: 65.545 | 111s
Epoch: 25 | Train loss: -103.75015167298736 | Eval WT: 3071.558 | Eval moves: 65.443 | 112s
Epoch: 26 | Train loss: -99.12106307374538 | Eval WT: 3070.816 | Eval moves: 65.396 | 111s
Epoch: 27 | Train loss: -95.11544630276792 | Eval WT: 3068.368 | Eval moves: 65.444 | 111s
Epoch: 28 | Train loss: -93.5111308141408 | Eval WT: 3063.996 | Eval moves: 65.395 | 111s
Epoch: 29 | Train loss: -92.5548940946996 | Eval WT: 3064.954 | Eval moves: 65.3 | 111s
Epoch: 30 | Train loss: -92.39060027559485 | Eval WT: 3062.567 | Eval moves: 65.312 | 112s
