lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 2
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(70,4,4,6).pt
eval_n_bays: 4
eval_n_rows: 4
empty_priority: None
n_containers: 70
n_bays: 4
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250224_204200
--------------------
Epoch: 0 | Train loss: None | Eval WT: 7049.2 | Eval moves: 130.762 | 2s
Epoch: 1 | Train loss: -166.044257774167 | Eval WT: 7046.408 | Eval moves: 130.8 | 326s
Epoch: 2 | Train loss: -162.9939152066143 | Eval WT: 7047.882 | Eval moves: 130.801 | 326s
Epoch: 3 | Train loss: -161.652370640914 | Eval WT: 7045.81 | Eval moves: 130.771 | 323s
Epoch: 4 | Train loss: -161.79981743804692 | Eval WT: 7047.857 | Eval moves: 130.728 | 321s
Epoch: 5 | Train loss: -160.34200273938671 | Eval WT: 7045.925 | Eval moves: 130.785 | 323s
Epoch: 6 | Train loss: -159.06611076764798 | Eval WT: 7041.784 | Eval moves: 130.657 | 324s
Epoch: 7 | Train loss: -152.5166041996173 | Eval WT: 7040.808 | Eval moves: 130.521 | 324s
Epoch: 8 | Train loss: -150.97178052403635 | Eval WT: 7038.822 | Eval moves: 130.558 | 322s
Epoch: 9 | Train loss: -154.47564148312557 | Eval WT: 7045.337 | Eval moves: 130.661 | 320s
Epoch: 10 | Train loss: -151.15287334531592 | Eval WT: 7042.222 | Eval moves: 130.528 | 321s
Epoch: 11 | Train loss: -150.62827510969242 | Eval WT: 7041.209 | Eval moves: 130.626 | 352s
Epoch: 12 | Train loss: -148.70000992451912 | Eval WT: 7040.242 | Eval moves: 130.561 | 323s
Epoch: 13 | Train loss: -143.45738954619853 | Eval WT: 7035.782 | Eval moves: 130.525 | 322s
Epoch: 14 | Train loss: -143.31681334194533 | Eval WT: 7038.407 | Eval moves: 130.583 | 321s
Epoch: 15 | Train loss: -137.16619337195462 | Eval WT: 7037.899 | Eval moves: 130.476 | 321s
Epoch: 16 | Train loss: -140.46552880258983 | Eval WT: 7038.12 | Eval moves: 130.568 | 320s
Epoch: 17 | Train loss: -137.76627829315012 | Eval WT: 7034.631 | Eval moves: 130.48 | 320s
Epoch: 18 | Train loss: -138.65825634361673 | Eval WT: 7034.404 | Eval moves: 130.418 | 320s
Epoch: 19 | Train loss: -136.5066475642847 | Eval WT: 7031.639 | Eval moves: 130.296 | 322s
Epoch: 20 | Train loss: -134.70275193929822 | Eval WT: 7033.321 | Eval moves: 130.341 | 324s
Epoch: 21 | Train loss: -133.6752073050082 | Eval WT: 7033.425 | Eval moves: 130.283 | 351s
Epoch: 22 | Train loss: -130.30844959286904 | Eval WT: 7035.88 | Eval moves: 130.47 | 318s
Epoch: 23 | Train loss: -125.85939907046469 | Eval WT: 7030.772 | Eval moves: 130.407 | 320s
Epoch: 24 | Train loss: -130.7672296263946 | Eval WT: 7028.447 | Eval moves: 130.315 | 319s
Epoch: 25 | Train loss: -129.67057112469593 | Eval WT: 7029.814 | Eval moves: 130.269 | 320s
Epoch: 26 | Train loss: -122.18002386961896 | Eval WT: 7029.488 | Eval moves: 130.378 | 318s
Epoch: 27 | Train loss: -123.01677993569339 | Eval WT: 7028.681 | Eval moves: 130.374 | 318s
Epoch: 28 | Train loss: -120.09646121843016 | Eval WT: 7028.088 | Eval moves: 130.291 | 317s
Epoch: 29 | Train loss: -118.20956727187942 | Eval WT: 7028.102 | Eval moves: 130.318 | 319s
Epoch: 30 | Train loss: -119.71749274791812 | Eval WT: 7027.146 | Eval moves: 130.271 | 320s
Epoch: 31 | Train loss: -117.17764083611148 | Eval WT: 7026.523 | Eval moves: 130.325 | 351s
Epoch: 32 | Train loss: -114.05936613251605 | Eval WT: 7027.363 | Eval moves: 130.203 | 317s
Epoch: 33 | Train loss: -114.03931308964594 | Eval WT: 7027.215 | Eval moves: 130.2 | 315s
Epoch: 34 | Train loss: -112.47642584589708 | Eval WT: 7023.277 | Eval moves: 130.169 | 316s
Epoch: 35 | Train loss: -113.26909512119254 | Eval WT: 7023.258 | Eval moves: 130.193 | 318s
Epoch: 36 | Train loss: -112.47421213488101 | Eval WT: 7023.542 | Eval moves: 130.166 | 318s
