lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6)_upsidedown.pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: 1
train_data_sampler: None
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: upsidedown
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250313_195139
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6363.908 | Eval relocs: 48.813 | 1s
Epoch: 1 | Train loss: -3670.0217192742916 | Eval WT: 3826.845 | Eval relocs: 40.569 | 167s
Epoch: 2 | Train loss: -1813.5283341709066 | Eval WT: 3534.796 | Eval relocs: 43.271 | 137s
Epoch: 3 | Train loss: -447.65268274071195 | Eval WT: 3470.57 | Eval relocs: 41.379 | 142s
Epoch: 4 | Train loss: -265.5328305062321 | Eval WT: 3411.341 | Eval relocs: 39.622 | 128s
Epoch: 5 | Train loss: -232.544545552077 | Eval WT: 3370.747 | Eval relocs: 38.386 | 125s
Epoch: 6 | Train loss: -192.98327953679075 | Eval WT: 3341.013 | Eval relocs: 37.321 | 117s
Epoch: 7 | Train loss: -161.5092141395793 | Eval WT: 3327.316 | Eval relocs: 36.748 | 119s
Epoch: 8 | Train loss: -130.87019674790577 | Eval WT: 3322.216 | Eval relocs: 36.527 | 113s
Epoch: 9 | Train loss: -113.9121135172363 | Eval WT: 3318.899 | Eval relocs: 36.396 | 113s
Epoch: 10 | Train loss: -102.12314024051017 | Eval WT: 3316.142 | Eval relocs: 36.282 | 110s
Epoch: 11 | Train loss: -96.34509410604264 | Eval WT: 3312.616 | Eval relocs: 36.183 | 122s
Epoch: 12 | Train loss: -89.6413617896197 | Eval WT: 3309.479 | Eval relocs: 36.134 | 109s
Epoch: 13 | Train loss: -83.8520008122447 | Eval WT: 3308.37 | Eval relocs: 36.127 | 105s
Epoch: 14 | Train loss: -79.14591661452847 | Eval WT: 3306.482 | Eval relocs: 36.06 | 101s
Epoch: 15 | Train loss: -75.91967509945664 | Eval WT: 3305.605 | Eval relocs: 36.021 | 105s
Epoch: 16 | Train loss: -73.87947369602972 | Eval WT: 3303.207 | Eval relocs: 35.946 | 106s
Epoch: 17 | Train loss: -72.41417501717287 | Eval WT: 3299.39 | Eval relocs: 35.871 | 104s
Epoch: 18 | Train loss: -74.16989293522636 | Eval WT: 3292.766 | Eval relocs: 35.734 | 101s
Epoch: 19 | Train loss: -75.35650002942275 | Eval WT: 3292.318 | Eval relocs: 35.789 | 106s
Epoch: 20 | Train loss: -72.4284641548999 | Eval WT: 3285.508 | Eval relocs: 35.579 | 110s
Epoch: 21 | Train loss: -67.60019256069154 | Eval WT: 3283.412 | Eval relocs: 35.541 | 127s
Epoch: 22 | Train loss: -63.94089036433551 | Eval WT: 3280.421 | Eval relocs: 35.459 | 106s
Epoch: 23 | Train loss: -60.24880165834718 | Eval WT: 3278.599 | Eval relocs: 35.39 | 104s
Epoch: 24 | Train loss: -58.13828514240906 | Eval WT: 3276.427 | Eval relocs: 35.403 | 103s
Epoch: 25 | Train loss: -57.30593834675535 | Eval WT: 3274.883 | Eval relocs: 35.368 | 107s
Epoch: 26 | Train loss: -54.43226622681089 | Eval WT: 3274.236 | Eval relocs: 35.331 | 101s
Epoch: 27 | Train loss: -53.01688553358839 | Eval WT: 3271.594 | Eval relocs: 35.253 | 104s
Epoch: 28 | Train loss: -50.493389753937215 | Eval WT: 3271.165 | Eval relocs: 35.248 | 99s
Epoch: 29 | Train loss: -48.699070061347875 | Eval WT: 3271.847 | Eval relocs: 35.238 | 100s
Epoch: 30 | Train loss: -47.55154809313477 | Eval WT: 3271.344 | Eval relocs: 35.269 | 102s
Epoch: 31 | Train loss: -46.197015774113076 | Eval WT: 3268.466 | Eval relocs: 35.184 | 112s
Epoch: 32 | Train loss: -44.6558956935477 | Eval WT: 3269.003 | Eval relocs: 35.134 | 101s
Epoch: 33 | Train loss: -41.784623008224045 | Eval WT: 3267.677 | Eval relocs: 35.188 | 101s
Epoch: 34 | Train loss: -41.23103964368287 | Eval WT: 3268.825 | Eval relocs: 35.108 | 106s
Epoch: 35 | Train loss: -40.37304927509297 | Eval WT: 3268.426 | Eval relocs: 35.082 | 102s
Epoch: 36 | Train loss: -39.41525181336059 | Eval WT: 3268.816 | Eval relocs: 35.085 | 98s
Epoch: 37 | Train loss: -37.83915988357876 | Eval WT: 3265.89 | Eval relocs: 35.096 | 99s
Epoch: 38 | Train loss: -37.48567203594919 | Eval WT: 3266.159 | Eval relocs: 35.046 | 102s
Epoch: 39 | Train loss: -37.6973890965512 | Eval WT: 3266.329 | Eval relocs: 34.97 | 105s
Epoch: 40 | Train loss: -35.43697332806203 | Eval WT: 3266.43 | Eval relocs: 34.996 | 101s
Epoch: 41 | Train loss: -35.18946599970854 | Eval WT: 3265.745 | Eval relocs: 35.014 | 120s
Epoch: 42 | Train loss: -33.712809866520324 | Eval WT: 3263.631 | Eval relocs: 34.995 | 103s
Epoch: 43 | Train loss: -33.47397423477883 | Eval WT: 3264.418 | Eval relocs: 34.959 | 100s
Epoch: 44 | Train loss: -33.31640536621919 | Eval WT: 3263.255 | Eval relocs: 34.929 | 97s
Epoch: 45 | Train loss: -32.25124057494658 | Eval WT: 3262.769 | Eval relocs: 34.888 | 101s
Epoch: 46 | Train loss: -32.51926138184949 | Eval WT: 3262.766 | Eval relocs: 34.88 | 99s
Epoch: 47 | Train loss: -31.564262264507033 | Eval WT: 3261.964 | Eval relocs: 35.001 | 97s
Epoch: 48 | Train loss: -30.552782876190076 | Eval WT: 3262.318 | Eval relocs: 34.913 | 100s
Epoch: 49 | Train loss: -28.1277032657511 | Eval WT: 3261.762 | Eval relocs: 34.879 | 98s
Epoch: 50 | Train loss: -28.349759816188577 | Eval WT: 3261.463 | Eval relocs: 34.852 | 99s
Epoch: 51 | Train loss: -27.97393245208091 | Eval WT: 3261.392 | Eval relocs: 34.861 | 115s
Epoch: 52 | Train loss: -28.159530720955086 | Eval WT: 3258.74 | Eval relocs: 34.819 | 100s
Epoch: 53 | Train loss: -28.82011492279334 | Eval WT: 3260.439 | Eval relocs: 34.764 | 100s
Epoch: 54 | Train loss: -27.12658376272592 | Eval WT: 3259.095 | Eval relocs: 34.804 | 99s
Epoch: 55 | Train loss: -27.909510098306928 | Eval WT: 3258.611 | Eval relocs: 34.743 | 99s
Epoch: 56 | Train loss: -26.735089578955137 | Eval WT: 3257.867 | Eval relocs: 34.778 | 97s
Epoch: 57 | Train loss: -26.49579360443064 | Eval WT: 3257.023 | Eval relocs: 34.828 | 101s
Epoch: 58 | Train loss: -26.84059357023828 | Eval WT: 3258.386 | Eval relocs: 34.815 | 102s
Epoch: 59 | Train loss: -26.781262504694997 | Eval WT: 3257.364 | Eval relocs: 34.812 | 95s
Epoch: 60 | Train loss: -25.531143079371176 | Eval WT: 3256.711 | Eval relocs: 34.775 | 104s
Epoch: 61 | Train loss: -26.845862307361813 | Eval WT: 3256.261 | Eval relocs: 34.74 | 116s
Epoch: 62 | Train loss: -25.141030730166158 | Eval WT: 3256.583 | Eval relocs: 34.735 | 100s
Epoch: 63 | Train loss: -25.518151246725278 | Eval WT: 3256.273 | Eval relocs: 34.765 | 97s
Epoch: 64 | Train loss: -25.356410305892403 | Eval WT: 3256.614 | Eval relocs: 34.743 | 101s
Epoch: 65 | Train loss: -24.23247517220342 | Eval WT: 3255.817 | Eval relocs: 34.772 | 97s
Epoch: 66 | Train loss: -24.573491328138967 | Eval WT: 3255.365 | Eval relocs: 34.747 | 102s
Epoch: 67 | Train loss: -24.329960030827834 | Eval WT: 3256.204 | Eval relocs: 34.769 | 105s
Epoch: 68 | Train loss: -24.330203131467574 | Eval WT: 3254.002 | Eval relocs: 34.729 | 98s
Epoch: 69 | Train loss: -23.22405037634146 | Eval WT: 3254.306 | Eval relocs: 34.682 | 96s
Epoch: 70 | Train loss: -23.67412424806219 | Eval WT: 3254.085 | Eval relocs: 34.724 | 102s
