lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250226_105111
--------------------
Epoch: 0 | Train loss: None | Eval WT: 4887.122 | Eval moves: 68.393 | 1s
Epoch: 1 | Train loss: -1671.5902985265407 | Eval WT: 3572.435 | Eval moves: 68.316 | 207s
Epoch: 2 | Train loss: -752.8162730443337 | Eval WT: 3226.783 | Eval moves: 70.193 | 167s
Epoch: 3 | Train loss: -231.3974208119506 | Eval WT: 3183.695 | Eval moves: 69.19 | 161s
Epoch: 4 | Train loss: -166.54200298329212 | Eval WT: 3145.654 | Eval moves: 68.144 | 159s
Epoch: 5 | Train loss: -151.44129064216304 | Eval WT: 3129.153 | Eval moves: 67.679 | 154s
Epoch: 6 | Train loss: -135.7112530953392 | Eval WT: 3117.945 | Eval moves: 67.357 | 152s
Epoch: 7 | Train loss: -122.19211063688954 | Eval WT: 3107.246 | Eval moves: 67.014 | 149s
Epoch: 8 | Train loss: -113.3140913127842 | Eval WT: 3101.283 | Eval moves: 66.834 | 148s
Epoch: 9 | Train loss: -106.48024765636286 | Eval WT: 3097.756 | Eval moves: 66.701 | 147s
Epoch: 10 | Train loss: -100.91358645907707 | Eval WT: 3091.685 | Eval moves: 66.521 | 145s
Epoch: 11 | Train loss: -98.31404982027239 | Eval WT: 3086.032 | Eval moves: 66.36 | 181s
Epoch: 12 | Train loss: -91.50833794050355 | Eval WT: 3084.589 | Eval moves: 66.301 | 144s
Epoch: 13 | Train loss: -87.36073734461263 | Eval WT: 3080.149 | Eval moves: 66.172 | 141s
Epoch: 14 | Train loss: -82.81611692990691 | Eval WT: 3077.048 | Eval moves: 66.1 | 143s
Epoch: 15 | Train loss: -80.84999165186152 | Eval WT: 3074.657 | Eval moves: 66.052 | 142s
Epoch: 16 | Train loss: -77.5933834048886 | Eval WT: 3071.487 | Eval moves: 65.973 | 139s
Epoch: 17 | Train loss: -74.75416083788478 | Eval WT: 3069.066 | Eval moves: 65.877 | 142s
Epoch: 18 | Train loss: -70.7415480992021 | Eval WT: 3066.907 | Eval moves: 65.815 | 142s
Epoch: 19 | Train loss: -67.83128108780919 | Eval WT: 3063.766 | Eval moves: 65.735 | 139s
Epoch: 20 | Train loss: -64.41090849556153 | Eval WT: 3064.886 | Eval moves: 65.754 | 136s
Epoch: 21 | Train loss: -62.14696565055071 | Eval WT: 3062.549 | Eval moves: 65.7 | 177s
Epoch: 22 | Train loss: -61.52698422767814 | Eval WT: 3061.64 | Eval moves: 65.671 | 139s
Epoch: 23 | Train loss: -56.97385833221912 | Eval WT: 3060.767 | Eval moves: 65.657 | 133s
Epoch: 24 | Train loss: -55.795604123958704 | Eval WT: 3060.869 | Eval moves: 65.654 | 140s
Epoch: 25 | Train loss: -53.24163916382726 | Eval WT: 3059.755 | Eval moves: 65.637 | 138s
Epoch: 26 | Train loss: -52.6231156920405 | Eval WT: 3058.236 | Eval moves: 65.567 | 135s
Epoch: 27 | Train loss: -50.19589408072033 | Eval WT: 3057.646 | Eval moves: 65.581 | 138s
Epoch: 28 | Train loss: -48.6487955867494 | Eval WT: 3057.021 | Eval moves: 65.558 | 139s
Epoch: 29 | Train loss: -46.50439272015569 | Eval WT: 3056.079 | Eval moves: 65.53 | 137s
Epoch: 30 | Train loss: -46.34987870180914 | Eval WT: 3057.49 | Eval moves: 65.571 | 135s
Epoch: 31 | Train loss: -45.17694833662259 | Eval WT: 3055.598 | Eval moves: 65.515 | 173s
Epoch: 32 | Train loss: -43.296129134947485 | Eval WT: 3054.055 | Eval moves: 65.493 | 135s
Epoch: 33 | Train loss: -41.421631596864046 | Eval WT: 3054.022 | Eval moves: 65.485 | 135s
Epoch: 34 | Train loss: -40.71867799246616 | Eval WT: 3052.729 | Eval moves: 65.448 | 136s
Epoch: 35 | Train loss: -40.11998515310038 | Eval WT: 3052.98 | Eval moves: 65.457 | 137s
Epoch: 36 | Train loss: -39.6986318605587 | Eval WT: 3052.75 | Eval moves: 65.422 | 135s
Epoch: 37 | Train loss: -38.90945645554368 | Eval WT: 3052.975 | Eval moves: 65.441 | 137s
Epoch: 38 | Train loss: -37.17827529453334 | Eval WT: 3051.102 | Eval moves: 65.375 | 136s
