lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: False
add_fill_ratio: False
norm_layout: False
add_layout_ratio: False
add_travel_time: False
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
load_model_path: ./epoch(110).pt
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250226_215252
--------------------
Epoch: 0 | Train loss: None | Eval WT: 3031.041 | Eval moves: 64.785 | 1s
Epoch: 1 | Train loss: -36.91699921739711 | Eval WT: 3029.914 | Eval moves: 64.817 | 182s
Epoch: 2 | Train loss: -37.790644414568796 | Eval WT: 3030.354 | Eval moves: 64.813 | 143s
Epoch: 3 | Train loss: -35.83340155008996 | Eval WT: 3030.02 | Eval moves: 64.825 | 143s
Epoch: 4 | Train loss: -36.70291389026895 | Eval WT: 3029.311 | Eval moves: 64.793 | 143s
Epoch: 5 | Train loss: -36.09155065862737 | Eval WT: 3029.06 | Eval moves: 64.789 | 142s
Epoch: 6 | Train loss: -35.31383201724837 | Eval WT: 3029.026 | Eval moves: 64.769 | 143s
Epoch: 7 | Train loss: -35.82436048530704 | Eval WT: 3028.664 | Eval moves: 64.772 | 142s
Epoch: 8 | Train loss: -35.41850757335944 | Eval WT: 3030.062 | Eval moves: 64.784 | 143s
Epoch: 9 | Train loss: -35.212380408577786 | Eval WT: 3028.934 | Eval moves: 64.803 | 142s
Epoch: 10 | Train loss: -36.14854380687024 | Eval WT: 3028.304 | Eval moves: 64.76 | 145s
Epoch: 11 | Train loss: -33.87193910609708 | Eval WT: 3028.19 | Eval moves: 64.739 | 181s
Epoch: 12 | Train loss: -34.9519251525265 | Eval WT: 3027.65 | Eval moves: 64.756 | 143s
Epoch: 13 | Train loss: -35.27308847639346 | Eval WT: 3027.498 | Eval moves: 64.728 | 143s
Epoch: 14 | Train loss: -33.523936251089886 | Eval WT: 3027.892 | Eval moves: 64.744 | 142s
Epoch: 15 | Train loss: -33.016182150063266 | Eval WT: 3029.506 | Eval moves: 64.763 | 142s
Epoch: 16 | Train loss: -33.86558445376801 | Eval WT: 3027.977 | Eval moves: 64.723 | 141s
Epoch: 17 | Train loss: -33.24575584572248 | Eval WT: 3027.844 | Eval moves: 64.787 | 144s
Epoch: 18 | Train loss: -33.30300629657731 | Eval WT: 3027.745 | Eval moves: 64.75 | 142s
