lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: workingtime
load_model_path: ./results/20250227_160246/models/epoch(1730).pt
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250304_005449
--------------------
Epoch: 0 | Train loss: None | Eval WT: 2997.938 | Eval relocs: 28.867 | 1s
Epoch: 1 | Train loss: -4.18485440386856 | Eval WT: 2997.771 | Eval relocs: 28.839 | 130s
Epoch: 2 | Train loss: -12.56494035913959 | Eval WT: 2998.172 | Eval relocs: 28.819 | 394s
Epoch: 3 | Train loss: -11.156164293202552 | Eval WT: 2998.203 | Eval relocs: 28.862 | 191s
Epoch: 4 | Train loss: -4.266937794380816 | Eval WT: 2998.535 | Eval relocs: 28.87 | 97s
Epoch: 5 | Train loss: -4.286634552258402 | Eval WT: 2997.169 | Eval relocs: 28.852 | 100s
Epoch: 6 | Train loss: -3.944520284837523 | Eval WT: 2998.303 | Eval relocs: 28.855 | 99s
Epoch: 7 | Train loss: -3.908362102365119 | Eval WT: 2998.247 | Eval relocs: 28.827 | 99s
Epoch: 8 | Train loss: -3.7496371426792523 | Eval WT: 2998.299 | Eval relocs: 28.842 | 97s
Epoch: 9 | Train loss: -3.789552066189857 | Eval WT: 2998.427 | Eval relocs: 28.852 | 97s
Epoch: 10 | Train loss: -11.03856506460247 | Eval WT: 2999.423 | Eval relocs: 28.879 | 191s
Epoch: 11 | Train loss: -3.7703184947637953 | Eval WT: 2998.63 | Eval relocs: 28.857 | 134s
Epoch: 12 | Train loss: -3.9537128412397755 | Eval WT: 2998.153 | Eval relocs: 28.853 | 96s
Epoch: 13 | Train loss: -5.342666335181659 | Eval WT: 2996.673 | Eval relocs: 28.845 | 118s
Epoch: 14 | Train loss: -3.8841703045227165 | Eval WT: 2997.642 | Eval relocs: 28.844 | 99s
Epoch: 15 | Train loss: -11.278774855878073 | Eval WT: 2998.186 | Eval relocs: 28.859 | 193s
Epoch: 16 | Train loss: -3.9449962133670335 | Eval WT: 2997.981 | Eval relocs: 28.86 | 97s
Epoch: 17 | Train loss: -12.91233402015148 | Eval WT: 2997.81 | Eval relocs: 28.894 | 394s
Epoch: 18 | Train loss: -4.13109312810634 | Eval WT: 2996.403 | Eval relocs: 28.865 | 97s
Epoch: 19 | Train loss: -12.349042612333838 | Eval WT: 2998.215 | Eval relocs: 28.882 | 397s
Epoch: 20 | Train loss: -4.001440263492501 | Eval WT: 2998.435 | Eval relocs: 28.871 | 97s
Epoch: 21 | Train loss: -11.443663284971608 | Eval WT: 2998.206 | Eval relocs: 28.85 | 226s
Epoch: 22 | Train loss: -12.76799455736467 | Eval WT: 2997.73 | Eval relocs: 28.86 | 394s
Epoch: 23 | Train loss: -12.417265003481871 | Eval WT: 2998.312 | Eval relocs: 28.896 | 396s
Epoch: 24 | Train loss: -10.741644866317174 | Eval WT: 2997.947 | Eval relocs: 28.862 | 191s
Epoch: 25 | Train loss: -12.056376186735147 | Eval WT: 2997.209 | Eval relocs: 28.855 | 390s
Epoch: 26 | Train loss: -11.731584954972051 | Eval WT: 2997.893 | Eval relocs: 28.893 | 392s
Epoch: 27 | Train loss: -11.479143920241343 | Eval WT: 2998.669 | Eval relocs: 28.887 | 190s
Epoch: 28 | Train loss: -12.015798968560974 | Eval WT: 2997.685 | Eval relocs: 28.838 | 187s
Epoch: 29 | Train loss: -4.057389449325687 | Eval WT: 2998.453 | Eval relocs: 28.855 | 100s
Epoch: 30 | Train loss: -4.078056674932123 | Eval WT: 2998.539 | Eval relocs: 28.864 | 100s
Epoch: 31 | Train loss: -4.278633610876732 | Eval WT: 2998.766 | Eval relocs: 28.864 | 128s
Epoch: 32 | Train loss: -12.413782168356388 | Eval WT: 2997.647 | Eval relocs: 28.864 | 396s
Epoch: 33 | Train loss: -12.269479821372695 | Eval WT: 2997.672 | Eval relocs: 28.857 | 392s
Epoch: 34 | Train loss: -4.398610397783257 | Eval WT: 2998.145 | Eval relocs: 28.836 | 99s
Epoch: 35 | Train loss: -12.463721612348632 | Eval WT: 2998.176 | Eval relocs: 28.881 | 189s
Epoch: 36 | Train loss: -4.400433730318297 | Eval WT: 2997.348 | Eval relocs: 28.83 | 119s
Epoch: 37 | Train loss: -11.455680315491682 | Eval WT: 2997.396 | Eval relocs: 28.865 | 392s
Epoch: 38 | Train loss: -12.068565948889454 | Eval WT: 2999.019 | Eval relocs: 28.914 | 192s
Epoch: 39 | Train loss: -3.8213675931589255 | Eval WT: 2998.963 | Eval relocs: 28.913 | 100s
Epoch: 40 | Train loss: -4.269240794186235 | Eval WT: 2997.265 | Eval relocs: 28.837 | 117s
Epoch: 41 | Train loss: -3.7006286248819036 | Eval WT: 2997.127 | Eval relocs: 28.829 | 127s
Epoch: 42 | Train loss: -5.068443307601209 | Eval WT: 2997.995 | Eval relocs: 28.818 | 116s
