lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: relocations
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250306_174550
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5667.46 | Eval relocs: 37.713 | 1s
Epoch: 1 | Train loss: -18.036456283064325 | Eval WT: 4776.589 | Eval relocs: 30.063 | 147s
Epoch: 2 | Train loss: -35.09983862064197 | Eval WT: 4584.066 | Eval relocs: 28.862 | 179s
Epoch: 3 | Train loss: -5.916065497586678 | Eval WT: 4443.869 | Eval relocs: 27.798 | 100s
Epoch: 4 | Train loss: -2.447504326819035 | Eval WT: 4203.287 | Eval relocs: 27.694 | 95s
Epoch: 5 | Train loss: -11.562537569562265 | Eval WT: 4283.875 | Eval relocs: 27.581 | 162s
Epoch: 6 | Train loss: -2.05387445416447 | Eval WT: 4297.793 | Eval relocs: 27.343 | 93s
Epoch: 7 | Train loss: -1.68536248332588 | Eval WT: 4272.801 | Eval relocs: 27.239 | 91s
Epoch: 8 | Train loss: -3.8352930862508945 | Eval WT: 4172.917 | Eval relocs: 27.31 | 255s
Epoch: 9 | Train loss: -3.535619376237155 | Eval WT: 4183.945 | Eval relocs: 27.264 | 251s
Epoch: 10 | Train loss: -1.3271721757590422 | Eval WT: 4062.801 | Eval relocs: 27.189 | 91s
Epoch: 11 | Train loss: -1.1731922375639987 | Eval WT: 3982.213 | Eval relocs: 27.298 | 107s
Epoch: 12 | Train loss: -6.650619169794954 | Eval WT: 4201.198 | Eval relocs: 27.091 | 152s
Epoch: 13 | Train loss: -1.2624130972259264 | Eval WT: 4233.255 | Eval relocs: 26.997 | 91s
Epoch: 14 | Train loss: -4.796351787334715 | Eval WT: 4205.642 | Eval relocs: 27.081 | 154s
Epoch: 15 | Train loss: -0.9897145788598573 | Eval WT: 4146.031 | Eval relocs: 27.014 | 81s
Epoch: 16 | Train loss: -1.1627978708987212 | Eval WT: 4229.775 | Eval relocs: 26.958 | 92s
Epoch: 17 | Train loss: -1.0286898702960752 | Eval WT: 4238.894 | Eval relocs: 26.938 | 90s
Epoch: 18 | Train loss: -4.218687812351564 | Eval WT: 4190.665 | Eval relocs: 27.003 | 148s
Epoch: 19 | Train loss: -3.749280090555112 | Eval WT: 4193.428 | Eval relocs: 27.008 | 148s
Epoch: 20 | Train loss: -3.562049887942267 | Eval WT: 4208.276 | Eval relocs: 27.035 | 150s
Epoch: 21 | Train loss: -3.42252099270263 | Eval WT: 4198.551 | Eval relocs: 27.02 | 161s
Epoch: 22 | Train loss: -0.9368122056537687 | Eval WT: 4176.033 | Eval relocs: 26.963 | 87s
