lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: False
add_layout_ratio: False
add_travel_time: False
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: relocations
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250310_145415
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5174.192 | Eval relocs: 37.685 | 1s
Epoch: 1 | Train loss: -33.05981795385946 | Eval WT: 4577.52 | Eval relocs: 30.57 | 266s
Epoch: 2 | Train loss: -8.885842220993363 | Eval WT: 4448.039 | Eval relocs: 28.886 | 164s
Epoch: 3 | Train loss: -6.955693968989071 | Eval WT: 4310.585 | Eval relocs: 27.173 | 242s
Epoch: 4 | Train loss: -4.983447205385891 | Eval WT: 4267.289 | Eval relocs: 26.742 | 234s
Epoch: 5 | Train loss: -3.0975237300572918 | Eval WT: 4137.081 | Eval relocs: 25.147 | 85s
Epoch: 6 | Train loss: -2.214557867149633 | Eval WT: 4114.228 | Eval relocs: 24.756 | 80s
Epoch: 7 | Train loss: -1.7153288798184076 | Eval WT: 4098.372 | Eval relocs: 24.639 | 82s
Epoch: 8 | Train loss: -1.5292471749289325 | Eval WT: 4094.904 | Eval relocs: 24.503 | 78s
Epoch: 9 | Train loss: -4.257859241324477 | Eval WT: 4100.805 | Eval relocs: 24.57 | 215s
Epoch: 10 | Train loss: -4.520931859036355 | Eval WT: 4091.8 | Eval relocs: 24.545 | 125s
Epoch: 11 | Train loss: -3.6483491241281443 | Eval WT: 4094.819 | Eval relocs: 24.553 | 143s
Epoch: 12 | Train loss: -1.1160941283315333 | Eval WT: 4069.021 | Eval relocs: 24.316 | 75s
Epoch: 13 | Train loss: -3.8422892511845568 | Eval WT: 4082.712 | Eval relocs: 24.409 | 207s
Epoch: 14 | Train loss: -3.625109912918415 | Eval WT: 4080.688 | Eval relocs: 24.396 | 125s
Epoch: 15 | Train loss: -2.9670394592966476 | Eval WT: 4077.461 | Eval relocs: 24.387 | 128s
Epoch: 16 | Train loss: -0.9961362888311123 | Eval WT: 4055.921 | Eval relocs: 24.179 | 75s
Epoch: 17 | Train loss: -0.9763415926430753 | Eval WT: 4052.576 | Eval relocs: 24.137 | 77s
Epoch: 18 | Train loss: -3.404759303946048 | Eval WT: 4078.049 | Eval relocs: 24.307 | 211s
Epoch: 19 | Train loss: -1.0138105379090847 | Eval WT: 4050.414 | Eval relocs: 24.073 | 79s
Epoch: 20 | Train loss: -0.9342397220873682 | Eval WT: 4056.979 | Eval relocs: 24.007 | 77s
Epoch: 21 | Train loss: -3.285314959359821 | Eval WT: 4067.68 | Eval relocs: 24.215 | 232s
Epoch: 22 | Train loss: -2.96254556221189 | Eval WT: 4074.834 | Eval relocs: 24.153 | 207s
Epoch: 23 | Train loss: -0.899182228233476 | Eval WT: 4047.335 | Eval relocs: 23.891 | 75s
Epoch: 24 | Train loss: -0.8661329901190038 | Eval WT: 4048.974 | Eval relocs: 23.851 | 80s
Epoch: 25 | Train loss: -2.275730839747557 | Eval WT: 4062.752 | Eval relocs: 23.997 | 121s
Epoch: 26 | Train loss: -2.213244929113716 | Eval WT: 4051.302 | Eval relocs: 23.933 | 121s
