lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [2, 2, 4, 2]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
bay_embedding: True
lstm: True
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250601_220744
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5015.807 | Eval relocs: 44.984 | 2s
Epoch: 1 | Train loss: -2512.9740297619833 | Eval WT: 3255.964 | Eval relocs: 35.994 | 536s
Epoch: 2 | Train loss: -1165.0790919541596 | Eval WT: 3247.692 | Eval relocs: 35.832 | 443s
Epoch: 3 | Train loss: -151.97033053451946 | Eval WT: 3228.901 | Eval relocs: 35.688 | 400s
Epoch: 4 | Train loss: -333.81096768557217 | Eval WT: 3229.887 | Eval relocs: 35.799 | 3350s
Epoch: 5 | Train loss: -153.30657370037696 | Eval WT: 3226.937 | Eval relocs: 35.759 | 2331s
Epoch: 6 | Train loss: -39.09805037076613 | Eval WT: 3214.544 | Eval relocs: 35.403 | 389s
Epoch: 7 | Train loss: -48.62631755143079 | Eval WT: 3195.884 | Eval relocs: 34.834 | 385s
Epoch: 8 | Train loss: -141.9087085890029 | Eval WT: 3193.421 | Eval relocs: 34.715 | 2038s
Epoch: 9 | Train loss: -261.4564220996948 | Eval WT: 3185.273 | Eval relocs: 34.503 | 368s
Epoch: 10 | Train loss: -170.8341665158801 | Eval WT: 3171.239 | Eval relocs: 34.039 | 3299s
Epoch: 11 | Train loss: -151.58824055653605 | Eval WT: 3166.528 | Eval relocs: 33.855 | 2556s
Epoch: 12 | Train loss: -130.3858872196051 | Eval WT: 3162.857 | Eval relocs: 33.804 | 2959s
Epoch: 13 | Train loss: -110.19871242503987 | Eval WT: 3157.859 | Eval relocs: 33.631 | 1838s
Epoch: 14 | Train loss: -102.83082504667242 | Eval WT: 3154.998 | Eval relocs: 33.575 | 2819s
Epoch: 15 | Train loss: -26.24992726844677 | Eval WT: 3150.293 | Eval relocs: 33.408 | 364s
Epoch: 16 | Train loss: -24.111771170455032 | Eval WT: 3149.646 | Eval relocs: 33.342 | 359s
Epoch: 17 | Train loss: -83.98441362963732 | Eval WT: 3148.192 | Eval relocs: 33.349 | 2463s
Epoch: 18 | Train loss: -22.877408581720644 | Eval WT: 3145.227 | Eval relocs: 33.237 | 361s
Epoch: 19 | Train loss: -88.30692152235719 | Eval WT: 3147.804 | Eval relocs: 33.377 | 326s
Epoch: 20 | Train loss: -60.365575336939585 | Eval WT: 3160.722 | Eval relocs: 33.79 | 1345s
Epoch: 21 | Train loss: -67.156796230985 | Eval WT: 3168.589 | Eval relocs: 34.092 | 1449s
Epoch: 22 | Train loss: -66.23734388678048 | Eval WT: 3141.646 | Eval relocs: 33.229 | 319s
Epoch: 23 | Train loss: -57.87076364354054 | Eval WT: 3170.056 | Eval relocs: 34.205 | 1459s
Epoch: 24 | Train loss: -16.11547035968543 | Eval WT: 3135.464 | Eval relocs: 32.949 | 359s
Epoch: 25 | Train loss: -65.06566319497256 | Eval WT: 3134.987 | Eval relocs: 32.958 | 2588s
Epoch: 26 | Train loss: -15.655555508279756 | Eval WT: 3131.942 | Eval relocs: 32.865 | 347s
Epoch: 27 | Train loss: -14.018289764727644 | Eval WT: 3130.493 | Eval relocs: 32.795 | 347s
