lr: 5e-06
epochs: 500
batch_num: 2
batch_size: 64
mini_batch_num: 32
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(280,4,16,6).pt
eval_n_bays: 4
eval_n_rows: 16
empty_priority: 999
n_containers: 280
n_bays: 4
n_rows: 16
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250222_233250
--------------------
Epoch: 0 | Train loss: None | Eval WT: 40411.737 | Eval moves: 471.85 | 10s
Epoch: 1 | Train loss: -11296.5889918361 | Eval WT: 40015.597 | Eval moves: 468.596 | 359s
Epoch: 2 | Train loss: -7715.067569266357 | Eval WT: 39777.271 | Eval moves: 466.517 | 347s
Epoch: 3 | Train loss: -6353.596180972216 | Eval WT: 39505.647 | Eval moves: 465.057 | 328s
Epoch: 4 | Train loss: -6217.612703934983 | Eval WT: 39296.812 | Eval moves: 464.003 | 330s
Epoch: 5 | Train loss: -5767.788477434637 | Eval WT: 39174.53 | Eval moves: 463.361 | 337s
Epoch: 6 | Train loss: -5360.590450034344 | Eval WT: 38987.969 | Eval moves: 462.792 | 331s
Epoch: 7 | Train loss: -4917.172153745918 | Eval WT: 38790.649 | Eval moves: 462.497 | 327s
Epoch: 8 | Train loss: -4789.37926517864 | Eval WT: 38593.031 | Eval moves: 462.106 | 326s
Epoch: 9 | Train loss: -4643.839005020696 | Eval WT: 38399.217 | Eval moves: 461.779 | 322s
Epoch: 10 | Train loss: -4870.263645555468 | Eval WT: 38209.741 | Eval moves: 461.781 | 319s
Epoch: 11 | Train loss: -4389.755331599084 | Eval WT: 38066.322 | Eval moves: 461.886 | 355s
Epoch: 12 | Train loss: -4548.533832671994 | Eval WT: 37948.271 | Eval moves: 462.401 | 320s
Epoch: 13 | Train loss: -4878.9842044314555 | Eval WT: 37774.438 | Eval moves: 462.453 | 317s
Epoch: 14 | Train loss: -5294.931597533719 | Eval WT: 37680.004 | Eval moves: 462.57 | 323s
Epoch: 15 | Train loss: -5059.631574340945 | Eval WT: 37513.747 | Eval moves: 462.829 | 319s
Epoch: 16 | Train loss: -4849.424843432055 | Eval WT: 37434.272 | Eval moves: 463.368 | 326s
Epoch: 17 | Train loss: -4901.089984588432 | Eval WT: 37373.238 | Eval moves: 463.555 | 322s
Epoch: 18 | Train loss: -4802.313949030035 | Eval WT: 37309.549 | Eval moves: 464.149 | 320s
Epoch: 19 | Train loss: -5051.355126609862 | Eval WT: 37242.402 | Eval moves: 464.945 | 326s
Epoch: 20 | Train loss: -5563.561860063466 | Eval WT: 37234.173 | Eval moves: 465.063 | 328s
Epoch: 21 | Train loss: -5682.048069487978 | Eval WT: 37197.154 | Eval moves: 465.832 | 363s
Epoch: 22 | Train loss: -5330.109198143384 | Eval WT: 37169.662 | Eval moves: 466.056 | 321s
Epoch: 23 | Train loss: -5638.456214865544 | Eval WT: 37127.392 | Eval moves: 465.121 | 323s
Epoch: 24 | Train loss: -5237.357101753896 | Eval WT: 37059.209 | Eval moves: 463.047 | 327s
