lr: 5e-06
epochs: 500
batch_size: 64
batch_num: 100
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
empty_priority: 999
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250221_204209
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5852.709 | Eval moves: 77.505 | 1s
Epoch: 1 | Train loss: -1570.653011817855 | Eval WT: 4301.731 | Eval moves: 61.765 | 218s
Epoch: 2 | Train loss: -604.4712313538843 | Eval WT: 4165.825 | Eval moves: 60.924 | 130s
Epoch: 3 | Train loss: -335.0282627279765 | Eval WT: 4044.433 | Eval moves: 60.785 | 123s
Epoch: 4 | Train loss: -298.6629882772056 | Eval WT: 3948.466 | Eval moves: 60.732 | 120s
Epoch: 5 | Train loss: -287.989313426295 | Eval WT: 3834.722 | Eval moves: 60.601 | 121s
Epoch: 6 | Train loss: -331.23595954860536 | Eval WT: 3674.854 | Eval moves: 61.065 | 122s
Epoch: 7 | Train loss: -391.4772353157842 | Eval WT: 3579.357 | Eval moves: 61.935 | 126s
Epoch: 8 | Train loss: -403.2575905269135 | Eval WT: 3509.236 | Eval moves: 62.793 | 128s
Epoch: 9 | Train loss: -383.6069230613808 | Eval WT: 3443.566 | Eval moves: 63.711 | 133s
Epoch: 10 | Train loss: -309.7554761064369 | Eval WT: 3383.442 | Eval moves: 64.404 | 136s
Epoch: 11 | Train loss: -277.9212383923112 | Eval WT: 3351.88 | Eval moves: 64.736 | 175s
Epoch: 12 | Train loss: -266.034671026284 | Eval WT: 3345.852 | Eval moves: 65.203 | 140s
Epoch: 13 | Train loss: -260.9108142821566 | Eval WT: 3330.075 | Eval moves: 65.052 | 140s
Epoch: 14 | Train loss: -232.60219055074526 | Eval WT: 3337.738 | Eval moves: 65.171 | 140s
Epoch: 15 | Train loss: -219.82327699457463 | Eval WT: 3317.148 | Eval moves: 64.928 | 139s
Epoch: 16 | Train loss: -213.3103146680957 | Eval WT: 3311.615 | Eval moves: 65.433 | 141s
Epoch: 17 | Train loss: -192.07903072382328 | Eval WT: 3284.984 | Eval moves: 65.909 | 142s
Epoch: 18 | Train loss: -165.63978434963016 | Eval WT: 3275.682 | Eval moves: 65.604 | 140s
Epoch: 19 | Train loss: -163.96491740025758 | Eval WT: 3268.182 | Eval moves: 65.417 | 143s
Epoch: 20 | Train loss: -160.9221629020737 | Eval WT: 3271.572 | Eval moves: 65.42 | 143s
Epoch: 21 | Train loss: -160.898813084006 | Eval WT: 3263.726 | Eval moves: 65.957 | 178s
Epoch: 22 | Train loss: -151.58589194999016 | Eval WT: 3255.097 | Eval moves: 66.007 | 144s
Epoch: 23 | Train loss: -144.34483382444347 | Eval WT: 3263.255 | Eval moves: 65.315 | 141s
Epoch: 24 | Train loss: -141.8716410728526 | Eval WT: 3230.238 | Eval moves: 65.69 | 140s
Epoch: 25 | Train loss: -136.66692670342098 | Eval WT: 3224.562 | Eval moves: 65.682 | 137s
Epoch: 26 | Train loss: -129.10260326632783 | Eval WT: 3210.691 | Eval moves: 65.718 | 138s
Epoch: 27 | Train loss: -123.96803407944856 | Eval WT: 3205.819 | Eval moves: 65.727 | 138s
Epoch: 28 | Train loss: -113.89016973999705 | Eval WT: 3197.941 | Eval moves: 65.544 | 137s
Epoch: 29 | Train loss: -109.0695192805626 | Eval WT: 3196.425 | Eval moves: 65.385 | 137s
Epoch: 30 | Train loss: -107.81074315262211 | Eval WT: 3194.839 | Eval moves: 65.437 | 139s
Epoch: 31 | Train loss: -102.38219353848626 | Eval WT: 3189.418 | Eval moves: 65.425 | 179s
Epoch: 32 | Train loss: -101.9048697020024 | Eval WT: 3186.773 | Eval moves: 65.308 | 140s
Epoch: 33 | Train loss: -99.47146415955169 | Eval WT: 3183.649 | Eval moves: 65.364 | 136s
Epoch: 34 | Train loss: -98.03150609687833 | Eval WT: 3178.934 | Eval moves: 65.245 | 137s
Epoch: 35 | Train loss: -100.8595153283124 | Eval WT: 3174.479 | Eval moves: 65.687 | 137s
Epoch: 36 | Train loss: -99.88681322340642 | Eval WT: 3163.564 | Eval moves: 65.53 | 140s
Epoch: 37 | Train loss: -98.6557150684682 | Eval WT: 3163.161 | Eval moves: 65.471 | 137s
Epoch: 38 | Train loss: -100.32077911545645 | Eval WT: 3158.4 | Eval moves: 65.216 | 138s
Epoch: 39 | Train loss: -95.65867055668325 | Eval WT: 3153.572 | Eval moves: 65.376 | 135s
Epoch: 40 | Train loss: -96.9670799564239 | Eval WT: 3150.555 | Eval moves: 65.346 | 138s
Epoch: 41 | Train loss: -97.04285439121007 | Eval WT: 3149.329 | Eval moves: 65.136 | 180s
Epoch: 42 | Train loss: -98.44871212845402 | Eval WT: 3144.726 | Eval moves: 65.512 | 138s
Epoch: 43 | Train loss: -92.81822055822374 | Eval WT: 3137.906 | Eval moves: 65.361 | 136s
Epoch: 44 | Train loss: -95.38132992716716 | Eval WT: 3130.115 | Eval moves: 65.24 | 137s
Epoch: 45 | Train loss: -95.63356078080349 | Eval WT: 3146.002 | Eval moves: 65.531 | 138s
Epoch: 46 | Train loss: -94.45922023000232 | Eval WT: 3119.973 | Eval moves: 64.961 | 137s
Epoch: 47 | Train loss: -92.04170700064799 | Eval WT: 3115.252 | Eval moves: 65.275 | 140s
Epoch: 48 | Train loss: -92.15132218122211 | Eval WT: 3108.098 | Eval moves: 65.268 | 139s
Epoch: 49 | Train loss: -91.85961910507413 | Eval WT: 3100.911 | Eval moves: 65.336 | 140s
Epoch: 50 | Train loss: -94.84781762855539 | Eval WT: 3095.22 | Eval moves: 65.462 | 140s
Epoch: 51 | Train loss: -89.00587317877346 | Eval WT: 3088.088 | Eval moves: 65.513 | 180s
Epoch: 52 | Train loss: -87.86843251172859 | Eval WT: 3085.507 | Eval moves: 65.547 | 138s
Epoch: 53 | Train loss: -84.39058497796039 | Eval WT: 3082.484 | Eval moves: 65.521 | 140s
Epoch: 54 | Train loss: -81.02260252876766 | Eval WT: 3076.985 | Eval moves: 65.578 | 140s
Epoch: 55 | Train loss: -78.17916717329142 | Eval WT: 3077.263 | Eval moves: 65.543 | 140s
Epoch: 56 | Train loss: -76.28212942988394 | Eval WT: 3073.902 | Eval moves: 65.639 | 140s
Epoch: 57 | Train loss: -72.4816328701135 | Eval WT: 3075.66 | Eval moves: 65.555 | 139s
Epoch: 58 | Train loss: -72.0735177702273 | Eval WT: 3073.645 | Eval moves: 65.563 | 137s
Epoch: 59 | Train loss: -69.46442143564407 | Eval WT: 3071.595 | Eval moves: 65.622 | 138s
Epoch: 60 | Train loss: -65.75448736300719 | Eval WT: 3069.87 | Eval moves: 65.596 | 139s
Epoch: 61 | Train loss: -64.61477994056823 | Eval WT: 3069.935 | Eval moves: 65.603 | 177s
Epoch: 62 | Train loss: -64.33293203001872 | Eval WT: 3071.182 | Eval moves: 65.659 | 136s
Epoch: 63 | Train loss: -62.044925672362496 | Eval WT: 3069.379 | Eval moves: 65.539 | 137s
Epoch: 64 | Train loss: -60.39918418673333 | Eval WT: 3069.37 | Eval moves: 65.619 | 138s
Epoch: 65 | Train loss: -59.67860648075747 | Eval WT: 3067.39 | Eval moves: 65.569 | 136s
Epoch: 66 | Train loss: -59.06055725276824 | Eval WT: 3065.682 | Eval moves: 65.506 | 136s
Epoch: 67 | Train loss: -57.2151884089127 | Eval WT: 3066.651 | Eval moves: 65.577 | 136s
Epoch: 68 | Train loss: -54.76750381470024 | Eval WT: 3065.171 | Eval moves: 65.521 | 136s
Epoch: 69 | Train loss: -54.89630047224039 | Eval WT: 3066.998 | Eval moves: 65.583 | 133s
Epoch: 70 | Train loss: -53.35877155119591 | Eval WT: 3064.863 | Eval moves: 65.502 | 138s
Epoch: 71 | Train loss: -53.89002372581655 | Eval WT: 3064.795 | Eval moves: 65.479 | 173s
Epoch: 72 | Train loss: -54.47467737638394 | Eval WT: 3065.459 | Eval moves: 65.489 | 134s
Epoch: 73 | Train loss: -54.08192576631037 | Eval WT: 3064.494 | Eval moves: 65.48 | 135s
Epoch: 74 | Train loss: -51.621975736232464 | Eval WT: 3063.389 | Eval moves: 65.497 | 137s
Epoch: 75 | Train loss: -50.96926633936178 | Eval WT: 3065.413 | Eval moves: 65.559 | 135s
Epoch: 76 | Train loss: -51.24953416522722 | Eval WT: 3063.133 | Eval moves: 65.479 | 135s
Epoch: 77 | Train loss: -51.90113586680841 | Eval WT: 3062.264 | Eval moves: 65.481 | 135s
Epoch: 78 | Train loss: -50.99158569558018 | Eval WT: 3064.436 | Eval moves: 65.531 | 135s
Epoch: 79 | Train loss: -48.99584472980081 | Eval WT: 3062.296 | Eval moves: 65.475 | 133s
Epoch: 80 | Train loss: -49.41780159683759 | Eval WT: 3062.857 | Eval moves: 65.391 | 137s
Epoch: 81 | Train loss: -47.58111645400235 | Eval WT: 3062.68 | Eval moves: 65.423 | 172s
Epoch: 82 | Train loss: -49.282527122350864 | Eval WT: 3062.256 | Eval moves: 65.443 | 133s
Epoch: 83 | Train loss: -48.10608181142668 | Eval WT: 3060.909 | Eval moves: 65.455 | 135s
Epoch: 84 | Train loss: -46.178418771826024 | Eval WT: 3062.343 | Eval moves: 65.493 | 135s
Epoch: 85 | Train loss: -46.337352147458006 | Eval WT: 3061.038 | Eval moves: 65.409 | 133s
Epoch: 86 | Train loss: -46.31435969765815 | Eval WT: 3064.634 | Eval moves: 65.445 | 133s
Epoch: 87 | Train loss: -47.443281272397506 | Eval WT: 3061.054 | Eval moves: 65.47 | 137s
Epoch: 88 | Train loss: -47.15109914638814 | Eval WT: 3060.958 | Eval moves: 65.468 | 137s
Epoch: 89 | Train loss: -47.01839486715248 | Eval WT: 3060.646 | Eval moves: 65.436 | 134s
Epoch: 90 | Train loss: -46.12422774499231 | Eval WT: 3060.685 | Eval moves: 65.429 | 134s
Epoch: 91 | Train loss: -45.79634254639257 | Eval WT: 3061.313 | Eval moves: 65.452 | 195s
Epoch: 92 | Train loss: -44.74686441643836 | Eval WT: 3059.276 | Eval moves: 65.452 | 135s
Epoch: 93 | Train loss: -44.85938679306374 | Eval WT: 3059.689 | Eval moves: 65.424 | 135s
Epoch: 94 | Train loss: -46.22430563681719 | Eval WT: 3059.835 | Eval moves: 65.361 | 134s
Epoch: 95 | Train loss: -45.254952348409276 | Eval WT: 3058.444 | Eval moves: 65.4 | 136s
Epoch: 96 | Train loss: -46.66711863093837 | Eval WT: 3059.005 | Eval moves: 65.353 | 133s
Epoch: 97 | Train loss: -44.08211085363648 | Eval WT: 3059.311 | Eval moves: 65.402 | 132s
Epoch: 98 | Train loss: -44.456196811711145 | Eval WT: 3058.693 | Eval moves: 65.408 | 135s
Epoch: 99 | Train loss: -43.861973951222 | Eval WT: 3059.863 | Eval moves: 65.402 | 134s
Epoch: 100 | Train loss: -44.46037002153135 | Eval WT: 3057.66 | Eval moves: 65.368 | 135s
Epoch: 101 | Train loss: -43.88979731549557 | Eval WT: 3059.092 | Eval moves: 65.448 | 174s
