lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250224_230920
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5973.924 | Eval moves: 75.866 | 1s
Epoch: 1 | Train loss: -2133.806070590208 | Eval WT: 4465.857 | Eval moves: 66.53 | 175s
Epoch: 2 | Train loss: -1230.137745981128 | Eval WT: 3678.306 | Eval moves: 67.397 | 160s
Epoch: 3 | Train loss: -874.7135133961959 | Eval WT: 3225.715 | Eval moves: 69.708 | 164s
Epoch: 4 | Train loss: -363.44877621726005 | Eval WT: 3179.921 | Eval moves: 69.133 | 163s
Epoch: 5 | Train loss: -198.56677947789063 | Eval WT: 3163.406 | Eval moves: 68.747 | 156s
Epoch: 6 | Train loss: -152.35787242960717 | Eval WT: 3153.96 | Eval moves: 68.457 | 154s
Epoch: 7 | Train loss: -130.23738061607432 | Eval WT: 3145.942 | Eval moves: 68.253 | 153s
Epoch: 8 | Train loss: -118.04805572625033 | Eval WT: 3138.096 | Eval moves: 68.065 | 152s
Epoch: 9 | Train loss: -107.28859368974652 | Eval WT: 3133.502 | Eval moves: 67.88 | 152s
Epoch: 10 | Train loss: -101.89495377500376 | Eval WT: 3131.522 | Eval moves: 67.827 | 151s
Epoch: 11 | Train loss: -94.4829355086386 | Eval WT: 3127.371 | Eval moves: 67.731 | 190s
Epoch: 12 | Train loss: -89.32727022165383 | Eval WT: 3125.717 | Eval moves: 67.695 | 148s
Epoch: 13 | Train loss: -84.06854206435953 | Eval WT: 3119.747 | Eval moves: 67.488 | 148s
Epoch: 14 | Train loss: -80.87631965379144 | Eval WT: 3118.563 | Eval moves: 67.43 | 146s
Epoch: 15 | Train loss: -79.80116710811157 | Eval WT: 3117.193 | Eval moves: 67.397 | 144s
Epoch: 16 | Train loss: -74.55861185094071 | Eval WT: 3115.312 | Eval moves: 67.361 | 146s
Epoch: 17 | Train loss: -71.04854787924971 | Eval WT: 3115.628 | Eval moves: 67.35 | 146s
Epoch: 18 | Train loss: -68.68023683442651 | Eval WT: 3115.518 | Eval moves: 67.352 | 143s
Epoch: 19 | Train loss: -67.2926341314032 | Eval WT: 3114.333 | Eval moves: 67.325 | 142s
Epoch: 20 | Train loss: -63.97301537368075 | Eval WT: 3113.033 | Eval moves: 67.27 | 143s
Epoch: 21 | Train loss: -61.761264695681966 | Eval WT: 3113.067 | Eval moves: 67.264 | 183s
Epoch: 22 | Train loss: -58.90397625733919 | Eval WT: 3111.341 | Eval moves: 67.229 | 144s
Epoch: 23 | Train loss: -57.077670839005705 | Eval WT: 3111.343 | Eval moves: 67.237 | 144s
Epoch: 24 | Train loss: -55.41927607380763 | Eval WT: 3111.162 | Eval moves: 67.186 | 143s
Epoch: 25 | Train loss: -55.12695331280826 | Eval WT: 3109.856 | Eval moves: 67.192 | 142s
Epoch: 26 | Train loss: -53.18097729390184 | Eval WT: 3109.049 | Eval moves: 67.158 | 143s
Epoch: 27 | Train loss: -50.65141231493553 | Eval WT: 3110.546 | Eval moves: 67.207 | 142s
Epoch: 28 | Train loss: -51.007508080959326 | Eval WT: 3107.738 | Eval moves: 67.114 | 143s
Epoch: 29 | Train loss: -48.74960918772112 | Eval WT: 3107.752 | Eval moves: 67.158 | 142s
Epoch: 30 | Train loss: -47.43683782173583 | Eval WT: 3107.506 | Eval moves: 67.162 | 141s
Epoch: 31 | Train loss: -47.112096871845814 | Eval WT: 3107.25 | Eval moves: 67.154 | 179s
Epoch: 32 | Train loss: -46.67736634353949 | Eval WT: 3105.796 | Eval moves: 67.102 | 141s
Epoch: 33 | Train loss: -48.58867511989366 | Eval WT: 3106.252 | Eval moves: 67.145 | 142s
Epoch: 34 | Train loss: -47.97867148863214 | Eval WT: 3102.768 | Eval moves: 67.062 | 141s
Epoch: 35 | Train loss: -49.491176932982526 | Eval WT: 3098.133 | Eval moves: 66.946 | 143s
Epoch: 36 | Train loss: -50.94968904412203 | Eval WT: 3095.971 | Eval moves: 66.882 | 143s
Epoch: 37 | Train loss: -54.18077485951992 | Eval WT: 3091.961 | Eval moves: 66.755 | 143s
Epoch: 38 | Train loss: -55.00960835812852 | Eval WT: 3087.318 | Eval moves: 66.61 | 141s
Epoch: 39 | Train loss: -55.35527176901499 | Eval WT: 3086.073 | Eval moves: 66.52 | 141s
Epoch: 40 | Train loss: -55.311815829699874 | Eval WT: 3083.031 | Eval moves: 66.389 | 139s
Epoch: 41 | Train loss: -53.75636430180293 | Eval WT: 3081.229 | Eval moves: 66.327 | 177s
Epoch: 42 | Train loss: -51.15984950104583 | Eval WT: 3077.513 | Eval moves: 66.2 | 139s
Epoch: 43 | Train loss: -52.10268053742133 | Eval WT: 3075.275 | Eval moves: 66.095 | 137s
Epoch: 44 | Train loss: -50.93300637046154 | Eval WT: 3072.785 | Eval moves: 66.051 | 139s
Epoch: 45 | Train loss: -48.28990396866179 | Eval WT: 3073.341 | Eval moves: 66.014 | 139s
Epoch: 46 | Train loss: -48.60623167888151 | Eval WT: 3071.172 | Eval moves: 65.942 | 137s
Epoch: 47 | Train loss: -46.85807565019875 | Eval WT: 3069.072 | Eval moves: 65.937 | 136s
Epoch: 48 | Train loss: -46.78351575881883 | Eval WT: 3068.711 | Eval moves: 65.901 | 136s
Epoch: 49 | Train loss: -44.11443663367395 | Eval WT: 3066.671 | Eval moves: 65.832 | 137s
