lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: False
add_layout_ratio: False
add_travel_time: False
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250226_004623
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5566.346 | Eval moves: 79.329 | 1s
Epoch: 1 | Train loss: -1954.6703824785611 | Eval WT: 3688.139 | Eval moves: 72.379 | 196s
Epoch: 2 | Train loss: -1163.7473220472657 | Eval WT: 3329.948 | Eval moves: 70.716 | 186s
Epoch: 3 | Train loss: -480.16617569007195 | Eval WT: 3212.355 | Eval moves: 69.449 | 178s
Epoch: 4 | Train loss: -232.14631396304677 | Eval WT: 3175.765 | Eval moves: 68.913 | 174s
Epoch: 5 | Train loss: -162.28050040479343 | Eval WT: 3160.371 | Eval moves: 68.576 | 171s
Epoch: 6 | Train loss: -134.83699632518233 | Eval WT: 3149.324 | Eval moves: 68.309 | 168s
Epoch: 7 | Train loss: -119.1668967902652 | Eval WT: 3138.225 | Eval moves: 67.992 | 165s
Epoch: 8 | Train loss: -108.08746181624096 | Eval WT: 3131.471 | Eval moves: 67.8 | 163s
Epoch: 9 | Train loss: -99.03889848047001 | Eval WT: 3127.473 | Eval moves: 67.672 | 163s
Epoch: 10 | Train loss: -92.65800025427072 | Eval WT: 3124.838 | Eval moves: 67.583 | 161s
Epoch: 11 | Train loss: -87.42742937152347 | Eval WT: 3121.015 | Eval moves: 67.441 | 208s
Epoch: 12 | Train loss: -81.52673365199 | Eval WT: 3117.67 | Eval moves: 67.396 | 159s
Epoch: 13 | Train loss: -75.9418655275882 | Eval WT: 3118.521 | Eval moves: 67.413 | 158s
Epoch: 14 | Train loss: -72.04981701447169 | Eval WT: 3113.675 | Eval moves: 67.265 | 158s
Epoch: 15 | Train loss: -69.344113409343 | Eval WT: 3114.432 | Eval moves: 67.314 | 158s
Epoch: 16 | Train loss: -65.87607005388443 | Eval WT: 3113.957 | Eval moves: 67.275 | 158s
Epoch: 17 | Train loss: -62.07200052762456 | Eval WT: 3112.973 | Eval moves: 67.229 | 156s
Epoch: 18 | Train loss: -59.62570100143014 | Eval WT: 3112.896 | Eval moves: 67.221 | 156s
Epoch: 19 | Train loss: -54.34486034762809 | Eval WT: 3112.65 | Eval moves: 67.221 | 155s
Epoch: 20 | Train loss: -54.08329397192165 | Eval WT: 3113.855 | Eval moves: 67.266 | 154s
Epoch: 21 | Train loss: -51.645423679633204 | Eval WT: 3113.309 | Eval moves: 67.252 | 203s
Epoch: 22 | Train loss: -48.97671202711197 | Eval WT: 3112.438 | Eval moves: 67.253 | 155s
Epoch: 23 | Train loss: -47.46459297373658 | Eval WT: 3110.697 | Eval moves: 67.181 | 153s
Epoch: 24 | Train loss: -46.876200533893716 | Eval WT: 3110.487 | Eval moves: 67.197 | 156s
Epoch: 25 | Train loss: -44.823491288533276 | Eval WT: 3110.997 | Eval moves: 67.202 | 155s
Epoch: 26 | Train loss: -42.33175278956846 | Eval WT: 3111.68 | Eval moves: 67.198 | 154s
Epoch: 27 | Train loss: -42.891203527950395 | Eval WT: 3110.041 | Eval moves: 67.175 | 153s
Epoch: 28 | Train loss: -39.21122773065927 | Eval WT: 3110.915 | Eval moves: 67.201 | 153s
Epoch: 29 | Train loss: -38.60523505195938 | Eval WT: 3110.908 | Eval moves: 67.2 | 154s
Epoch: 30 | Train loss: -36.706251874900325 | Eval WT: 3110.97 | Eval moves: 67.184 | 152s
Epoch: 31 | Train loss: -35.47550997163552 | Eval WT: 3111.696 | Eval moves: 67.205 | 200s
Epoch: 32 | Train loss: -36.06670716259659 | Eval WT: 3111.13 | Eval moves: 67.209 | 152s
Epoch: 33 | Train loss: -34.09522732481008 | Eval WT: 3109.279 | Eval moves: 67.164 | 152s
Epoch: 34 | Train loss: -34.31979848216916 | Eval WT: 3111.001 | Eval moves: 67.234 | 153s
Epoch: 35 | Train loss: -32.30097489193339 | Eval WT: 3110.694 | Eval moves: 67.224 | 152s
Epoch: 36 | Train loss: -31.86468675461195 | Eval WT: 3110.694 | Eval moves: 67.189 | 152s
Epoch: 37 | Train loss: -30.094858727152197 | Eval WT: 3110.421 | Eval moves: 67.184 | 153s
