lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: 1
train_data_sampler: None
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: relocations
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250306_174842
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6150.323 | Eval relocs: 53.777 | 1s
Epoch: 1 | Train loss: -24.58549579215818 | Eval WT: 4138.015 | Eval relocs: 31.988 | 125s
Epoch: 2 | Train loss: -10.084446957758628 | Eval WT: 4283.862 | Eval relocs: 29.728 | 109s
Epoch: 3 | Train loss: -6.268427022881514 | Eval WT: 4300.262 | Eval relocs: 27.866 | 96s
Epoch: 4 | Train loss: -4.377117714301275 | Eval WT: 4353.875 | Eval relocs: 27.488 | 94s
Epoch: 5 | Train loss: -3.464660092987615 | Eval WT: 4323.961 | Eval relocs: 26.886 | 89s
Epoch: 6 | Train loss: -3.400213128868927 | Eval WT: 4309.733 | Eval relocs: 26.023 | 85s
Epoch: 7 | Train loss: -2.9576819793540925 | Eval WT: 4252.134 | Eval relocs: 25.516 | 84s
Epoch: 8 | Train loss: -2.416606606270798 | Eval WT: 4228.663 | Eval relocs: 25.272 | 89s
Epoch: 9 | Train loss: -2.135932762508164 | Eval WT: 4191.693 | Eval relocs: 25.009 | 85s
Epoch: 10 | Train loss: -2.00241938764324 | Eval WT: 4204.864 | Eval relocs: 24.855 | 80s
Epoch: 11 | Train loss: -1.8246324266280862 | Eval WT: 4181.713 | Eval relocs: 24.777 | 92s
Epoch: 12 | Train loss: -1.6982814691634849 | Eval WT: 4187.409 | Eval relocs: 24.742 | 84s
Epoch: 13 | Train loss: -1.5982001214294723 | Eval WT: 4193.002 | Eval relocs: 24.639 | 83s
Epoch: 14 | Train loss: -1.5397185808099676 | Eval WT: 4168.619 | Eval relocs: 24.61 | 82s
Epoch: 15 | Train loss: -1.4532390100895283 | Eval WT: 4145.882 | Eval relocs: 24.546 | 76s
Epoch: 16 | Train loss: -1.4186712603209162 | Eval WT: 4158.709 | Eval relocs: 24.496 | 79s
Epoch: 17 | Train loss: -1.3490456788332086 | Eval WT: 4166.105 | Eval relocs: 24.484 | 78s
Epoch: 18 | Train loss: -1.3203578635911253 | Eval WT: 4158.182 | Eval relocs: 24.436 | 76s
Epoch: 19 | Train loss: -1.2666153120147647 | Eval WT: 4149.318 | Eval relocs: 24.392 | 74s
Epoch: 20 | Train loss: -1.251888418677554 | Eval WT: 4146.914 | Eval relocs: 24.383 | 77s
Epoch: 21 | Train loss: -1.2223786781040689 | Eval WT: 4148.917 | Eval relocs: 24.361 | 88s
Epoch: 22 | Train loss: -1.1350423071574187 | Eval WT: 4143.571 | Eval relocs: 24.35 | 75s
Epoch: 23 | Train loss: -1.1358620795510068 | Eval WT: 4157.912 | Eval relocs: 24.322 | 76s
Epoch: 24 | Train loss: -1.0876913992175832 | Eval WT: 4160.967 | Eval relocs: 24.289 | 73s
Epoch: 25 | Train loss: -1.0781790493837615 | Eval WT: 4148.996 | Eval relocs: 24.276 | 76s
Epoch: 26 | Train loss: -1.074862925150228 | Eval WT: 4162.781 | Eval relocs: 24.285 | 74s
Epoch: 27 | Train loss: -1.038696390081459 | Eval WT: 4155.448 | Eval relocs: 24.249 | 78s
Epoch: 28 | Train loss: -1.0150535824435791 | Eval WT: 4158.557 | Eval relocs: 24.228 | 79s
Epoch: 29 | Train loss: -1.0074405807755829 | Eval WT: 4145.588 | Eval relocs: 24.197 | 74s
Epoch: 30 | Train loss: -0.979864940735788 | Eval WT: 4136.338 | Eval relocs: 24.185 | 78s
Epoch: 31 | Train loss: -0.9652901149907848 | Eval WT: 4134.409 | Eval relocs: 24.138 | 96s
Epoch: 32 | Train loss: -0.9309715141129709 | Eval WT: 4148.711 | Eval relocs: 24.127 | 74s
Epoch: 33 | Train loss: -0.932847943931265 | Eval WT: 4132.943 | Eval relocs: 24.126 | 76s
Epoch: 34 | Train loss: -0.8952105186469271 | Eval WT: 4130.781 | Eval relocs: 24.116 | 78s
Epoch: 35 | Train loss: -0.8867119598972931 | Eval WT: 4137.987 | Eval relocs: 24.118 | 73s
Epoch: 36 | Train loss: -0.8806713561301148 | Eval WT: 4122.772 | Eval relocs: 24.066 | 76s
Epoch: 37 | Train loss: -0.8758063080870488 | Eval WT: 4139.157 | Eval relocs: 24.101 | 75s
Epoch: 38 | Train loss: -0.84005355863359 | Eval WT: 4123.342 | Eval relocs: 24.045 | 72s
Epoch: 39 | Train loss: -0.801677095544219 | Eval WT: 4128.651 | Eval relocs: 24.031 | 72s
Epoch: 40 | Train loss: -0.7974065721962325 | Eval WT: 4127.127 | Eval relocs: 23.983 | 77s
Epoch: 41 | Train loss: -0.796816991281812 | Eval WT: 4114.331 | Eval relocs: 23.942 | 94s
Epoch: 42 | Train loss: -0.7762943883847765 | Eval WT: 4116.45 | Eval relocs: 23.976 | 75s
Epoch: 43 | Train loss: -0.7830439816082071 | Eval WT: 4096.252 | Eval relocs: 23.957 | 73s
Epoch: 44 | Train loss: -0.7765049462201205 | Eval WT: 4108.231 | Eval relocs: 23.945 | 77s
Epoch: 45 | Train loss: -0.7408123896570395 | Eval WT: 4118.718 | Eval relocs: 23.943 | 79s
Epoch: 46 | Train loss: -0.7284055659711884 | Eval WT: 4096.369 | Eval relocs: 23.933 | 72s
Epoch: 47 | Train loss: -0.7146328689515212 | Eval WT: 4094.128 | Eval relocs: 23.876 | 77s
Epoch: 48 | Train loss: -0.7249142992218913 | Eval WT: 4091.467 | Eval relocs: 23.888 | 79s
Epoch: 49 | Train loss: -0.6933735463430639 | Eval WT: 4097.107 | Eval relocs: 23.879 | 71s
Epoch: 50 | Train loss: -0.7071483192755841 | Eval WT: 4116.203 | Eval relocs: 23.868 | 72s
Epoch: 51 | Train loss: -0.7006446740821412 | Eval WT: 4072.422 | Eval relocs: 23.848 | 98s
Epoch: 52 | Train loss: -0.6555933368718252 | Eval WT: 4108.22 | Eval relocs: 23.834 | 71s
Epoch: 53 | Train loss: -0.6535432563982795 | Eval WT: 4108.778 | Eval relocs: 23.811 | 75s
Epoch: 54 | Train loss: -0.668259562873609 | Eval WT: 4075.33 | Eval relocs: 23.815 | 80s
Epoch: 55 | Train loss: -0.6502406318261638 | Eval WT: 4083.611 | Eval relocs: 23.821 | 77s
Epoch: 56 | Train loss: -0.6427602205605035 | Eval WT: 4075.114 | Eval relocs: 23.791 | 77s
Epoch: 57 | Train loss: -0.6358782424058882 | Eval WT: 4099.5 | Eval relocs: 23.78 | 79s
Epoch: 58 | Train loss: -0.5998020327696577 | Eval WT: 4083.469 | Eval relocs: 23.744 | 72s
Epoch: 59 | Train loss: -0.6005494095690664 | Eval WT: 4078.842 | Eval relocs: 23.744 | 75s
Epoch: 60 | Train loss: -0.5773151519080421 | Eval WT: 4098.033 | Eval relocs: 23.751 | 71s
Epoch: 61 | Train loss: -0.6061988607069725 | Eval WT: 4092.188 | Eval relocs: 23.723 | 86s
Epoch: 62 | Train loss: -0.5639658637489628 | Eval WT: 4089.403 | Eval relocs: 23.707 | 74s
Epoch: 63 | Train loss: -0.5740562092142864 | Eval WT: 4078.137 | Eval relocs: 23.701 | 76s
Epoch: 64 | Train loss: -0.564378951683575 | Eval WT: 4093.831 | Eval relocs: 23.702 | 75s
Epoch: 65 | Train loss: -0.5754702541388542 | Eval WT: 4064.852 | Eval relocs: 23.681 | 71s
Epoch: 66 | Train loss: -0.5706579581217375 | Eval WT: 4046.408 | Eval relocs: 23.661 | 74s
Epoch: 67 | Train loss: -0.5536105722923094 | Eval WT: 4056.437 | Eval relocs: 23.651 | 76s
Epoch: 68 | Train loss: -0.5648120289347025 | Eval WT: 4072.58 | Eval relocs: 23.649 | 71s
Epoch: 69 | Train loss: -0.536637682256951 | Eval WT: 4065.805 | Eval relocs: 23.635 | 76s
Epoch: 70 | Train loss: -0.5415802760263978 | Eval WT: 4077.26 | Eval relocs: 23.633 | 78s
Epoch: 71 | Train loss: -0.5001697352293558 | Eval WT: 4062.751 | Eval relocs: 23.627 | 92s
Epoch: 72 | Train loss: -0.533800020430317 | Eval WT: 4054.168 | Eval relocs: 23.598 | 76s
Epoch: 73 | Train loss: -0.5249541453325218 | Eval WT: 4071.595 | Eval relocs: 23.604 | 77s
Epoch: 74 | Train loss: -0.5124038204265889 | Eval WT: 4052.675 | Eval relocs: 23.609 | 70s
Epoch: 75 | Train loss: -0.5101731721948091 | Eval WT: 4055.455 | Eval relocs: 23.554 | 73s
Epoch: 76 | Train loss: -0.48930929579859367 | Eval WT: 4052.1 | Eval relocs: 23.562 | 70s
Epoch: 77 | Train loss: -0.494643277039504 | Eval WT: 4054.32 | Eval relocs: 23.551 | 71s
Epoch: 78 | Train loss: -0.49055997314608246 | Eval WT: 4064.214 | Eval relocs: 23.562 | 73s
Epoch: 79 | Train loss: -0.48962055614887506 | Eval WT: 4048.77 | Eval relocs: 23.558 | 71s
Epoch: 80 | Train loss: -0.4757809607260788 | Eval WT: 4030.939 | Eval relocs: 23.523 | 71s
Epoch: 81 | Train loss: -0.48027451457652204 | Eval WT: 4037.13 | Eval relocs: 23.523 | 85s
Epoch: 82 | Train loss: -0.4753768408806718 | Eval WT: 4041.918 | Eval relocs: 23.522 | 74s
Epoch: 83 | Train loss: -0.46803516813128226 | Eval WT: 4033.664 | Eval relocs: 23.505 | 75s
Epoch: 84 | Train loss: -0.48006077142115827 | Eval WT: 4054.831 | Eval relocs: 23.481 | 78s
Epoch: 85 | Train loss: -0.43821827994033813 | Eval WT: 4029.553 | Eval relocs: 23.5 | 72s
Epoch: 86 | Train loss: -0.4642013117351598 | Eval WT: 4050.746 | Eval relocs: 23.508 | 73s
Epoch: 87 | Train loss: -0.4484190106606911 | Eval WT: 4040.235 | Eval relocs: 23.482 | 69s
Epoch: 88 | Train loss: -0.45467757594751673 | Eval WT: 4043.157 | Eval relocs: 23.504 | 73s
Epoch: 89 | Train loss: -0.45712773833045506 | Eval WT: 4046.807 | Eval relocs: 23.513 | 71s
Epoch: 90 | Train loss: -0.4441208856031881 | Eval WT: 4042.387 | Eval relocs: 23.486 | 74s
Epoch: 91 | Train loss: -0.4333553546535768 | Eval WT: 4054.448 | Eval relocs: 23.467 | 92s
Epoch: 92 | Train loss: -0.41777063807854575 | Eval WT: 4055.955 | Eval relocs: 23.486 | 78s
Epoch: 93 | Train loss: -0.4342362925877387 | Eval WT: 4043.445 | Eval relocs: 23.467 | 72s
Epoch: 94 | Train loss: -0.4218368391930562 | Eval WT: 4021.694 | Eval relocs: 23.457 | 73s
Epoch: 95 | Train loss: -0.4343355436941783 | Eval WT: 4035.323 | Eval relocs: 23.446 | 75s
Epoch: 96 | Train loss: -0.43102372283581647 | Eval WT: 4040.026 | Eval relocs: 23.442 | 74s
Epoch: 97 | Train loss: -0.4321816241533088 | Eval WT: 4037.551 | Eval relocs: 23.453 | 75s
