lr: 5e-06
epochs: 10000
batch_size: 1024
batch_num: 100
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
device: cuda:0
log_path: ./train/20250221_102025
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6593.225 | Eval moves: 89.72 | 1s
Epoch: 1 | Train loss: -9.726628160966893 | Eval WT: 4815.536 | Eval moves: 68.224 | 164s
Epoch: 2 | Train loss: -8.97092198185117 | Eval WT: 4571.634 | Eval moves: 65.278 | 118s
Epoch: 3 | Train loss: -9.18638804800732 | Eval WT: 4581.295 | Eval moves: 65.447 | 120s
Epoch: 4 | Train loss: -9.550738088102193 | Eval WT: 4486.182 | Eval moves: 64.936 | 126s
Epoch: 5 | Train loss: -9.769729211209013 | Eval WT: 4454.162 | Eval moves: 64.998 | 126s
Epoch: 6 | Train loss: -10.162063718951615 | Eval WT: 4452.013 | Eval moves: 65.843 | 129s
Epoch: 7 | Train loss: -10.543025447848574 | Eval WT: 4347.247 | Eval moves: 65.304 | 137s
Epoch: 8 | Train loss: -10.843503509038895 | Eval WT: 4425.079 | Eval moves: 66.497 | 134s
Epoch: 9 | Train loss: -11.134661371098462 | Eval WT: 4297.968 | Eval moves: 65.286 | 135s
Epoch: 10 | Train loss: -11.243556652271163 | Eval WT: 4312.029 | Eval moves: 65.974 | 129s
Epoch: 11 | Train loss: -11.138563253577317 | Eval WT: 4251.855 | Eval moves: 65.311 | 144s
Epoch: 12 | Train loss: -11.2400460140108 | Eval WT: 4268.044 | Eval moves: 65.814 | 134s
Epoch: 13 | Train loss: -11.246957848331238 | Eval WT: 4248.159 | Eval moves: 65.709 | 130s
Epoch: 14 | Train loss: -11.065417914892823 | Eval WT: 4243.787 | Eval moves: 66.028 | 126s
Epoch: 15 | Train loss: -11.191369563255325 | Eval WT: 4235.981 | Eval moves: 66.396 | 124s
Epoch: 16 | Train loss: -11.261974595495431 | Eval WT: 4277.662 | Eval moves: 66.764 | 128s
Epoch: 17 | Train loss: -11.244718677729473 | Eval WT: 4225.074 | Eval moves: 66.805 | 125s
Epoch: 18 | Train loss: -11.410294156210915 | Eval WT: 4213.494 | Eval moves: 66.102 | 132s
Epoch: 19 | Train loss: -11.336773982020937 | Eval WT: 4229.171 | Eval moves: 66.593 | 131s
Epoch: 20 | Train loss: -11.386992501250374 | Eval WT: 4212.932 | Eval moves: 66.444 | 134s
Epoch: 21 | Train loss: -11.477252022303132 | Eval WT: 4152.069 | Eval moves: 65.348 | 142s
Epoch: 22 | Train loss: -11.467369013046468 | Eval WT: 4215.308 | Eval moves: 67.155 | 123s
Epoch: 23 | Train loss: -11.547800578393316 | Eval WT: 4847.247 | Eval moves: 73.58 | 128s
Epoch: 24 | Train loss: -11.675750596984075 | Eval WT: 4073.898 | Eval moves: 66.386 | 127s
Epoch: 25 | Train loss: -11.441596836020711 | Eval WT: 4174.13 | Eval moves: 65.232 | 123s
Epoch: 26 | Train loss: -11.010845300145688 | Eval WT: 4163.63 | Eval moves: 66.805 | 129s
Epoch: 27 | Train loss: -11.324227892772583 | Eval WT: 4139.897 | Eval moves: 65.865 | 128s
Epoch: 28 | Train loss: -11.443779579384268 | Eval WT: 4099.738 | Eval moves: 65.896 | 125s
Epoch: 29 | Train loss: -11.642887909063054 | Eval WT: 4210.487 | Eval moves: 67.045 | 134s
Epoch: 30 | Train loss: -11.608366343408786 | Eval WT: 4178.842 | Eval moves: 66.223 | 126s
Epoch: 31 | Train loss: -11.683377971526449 | Eval WT: 4125.241 | Eval moves: 65.71 | 144s
Epoch: 32 | Train loss: -11.80212485291198 | Eval WT: 4139.987 | Eval moves: 66.568 | 133s
Epoch: 33 | Train loss: -11.705851188674616 | Eval WT: 4170.221 | Eval moves: 66.553 | 127s
Epoch: 34 | Train loss: -11.88138277684416 | Eval WT: 4119.603 | Eval moves: 65.957 | 130s
Epoch: 35 | Train loss: -11.890632304044484 | Eval WT: 4150.496 | Eval moves: 66.408 | 127s
Epoch: 36 | Train loss: -11.935287946628291 | Eval WT: 4143.701 | Eval moves: 66.246 | 123s
