lr: 5e-06
epochs: 10000
batch_size: 64
batch_num: 2
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
empty_priority: 999
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250221_201048
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6527.074 | Eval moves: 88.667 | 1s
Epoch: 1 | Train loss: -2560.092457876636 | Eval WT: 6296.853 | Eval moves: 86.033 | 6s
Epoch: 2 | Train loss: -2514.4373333390163 | Eval WT: 6097.779 | Eval moves: 83.683 | 4s
Epoch: 3 | Train loss: -2499.8613429675147 | Eval WT: 5892.544 | Eval moves: 81.14 | 5s
Epoch: 4 | Train loss: -2510.903702747337 | Eval WT: 5636.824 | Eval moves: 78.109 | 5s
Epoch: 5 | Train loss: -2308.1080139212 | Eval WT: 5406.341 | Eval moves: 75.327 | 4s
Epoch: 6 | Train loss: -2386.330874609898 | Eval WT: 5205.564 | Eval moves: 72.987 | 4s
Epoch: 7 | Train loss: -2326.9568687167102 | Eval WT: 5042.16 | Eval moves: 70.973 | 4s
Epoch: 8 | Train loss: -2418.29008698496 | Eval WT: 4931.124 | Eval moves: 69.66 | 5s
Epoch: 9 | Train loss: -2319.855180327847 | Eval WT: 4854.067 | Eval moves: 68.826 | 4s
Epoch: 10 | Train loss: -2206.009458534906 | Eval WT: 4815.031 | Eval moves: 68.304 | 4s
Epoch: 11 | Train loss: -2333.806333191193 | Eval WT: 4759.677 | Eval moves: 67.661 | 5s
Epoch: 12 | Train loss: -2294.800056560719 | Eval WT: 4719.522 | Eval moves: 67.237 | 4s
Epoch: 13 | Train loss: -2208.623578087709 | Eval WT: 4692.674 | Eval moves: 66.853 | 4s
Epoch: 14 | Train loss: -2156.0927776022077 | Eval WT: 4683.267 | Eval moves: 66.639 | 4s
Epoch: 15 | Train loss: -2069.62224711429 | Eval WT: 4662.248 | Eval moves: 66.401 | 4s
Epoch: 16 | Train loss: -2145.6418722270714 | Eval WT: 4637.849 | Eval moves: 66.143 | 4s
Epoch: 17 | Train loss: -2027.3757465102842 | Eval WT: 4613.91 | Eval moves: 65.887 | 4s
Epoch: 18 | Train loss: -2013.4051436457344 | Eval WT: 4594.175 | Eval moves: 65.592 | 4s
Epoch: 19 | Train loss: -2008.8684325913578 | Eval WT: 4572.201 | Eval moves: 65.348 | 4s
Epoch: 20 | Train loss: -2119.428594449601 | Eval WT: 4557.79 | Eval moves: 65.185 | 4s
Epoch: 21 | Train loss: -1758.5835512421963 | Eval WT: 4538.693 | Eval moves: 64.953 | 4s
Epoch: 22 | Train loss: -1686.7691318675202 | Eval WT: 4526.0 | Eval moves: 64.781 | 4s
Epoch: 23 | Train loss: -1696.0649552253763 | Eval WT: 4502.538 | Eval moves: 64.602 | 4s
Epoch: 24 | Train loss: -1845.972977703375 | Eval WT: 4494.964 | Eval moves: 64.49 | 4s
Epoch: 25 | Train loss: -1907.817920983085 | Eval WT: 4480.546 | Eval moves: 64.323 | 4s
Epoch: 26 | Train loss: -1672.1034901661383 | Eval WT: 4468.556 | Eval moves: 64.171 | 4s
Epoch: 27 | Train loss: -1688.7441134840735 | Eval WT: 4450.643 | Eval moves: 64.014 | 4s
Epoch: 28 | Train loss: -1614.7356377748679 | Eval WT: 4437.681 | Eval moves: 63.896 | 4s
Epoch: 29 | Train loss: -1512.956764805091 | Eval WT: 4429.862 | Eval moves: 63.776 | 4s
Epoch: 30 | Train loss: -1577.708879884624 | Eval WT: 4418.029 | Eval moves: 63.666 | 3s
Epoch: 31 | Train loss: -1498.5044597957228 | Eval WT: 4409.533 | Eval moves: 63.559 | 3s
Epoch: 32 | Train loss: -1394.8151901414712 | Eval WT: 4403.748 | Eval moves: 63.446 | 4s
Epoch: 33 | Train loss: -1371.6180984064645 | Eval WT: 4393.49 | Eval moves: 63.316 | 4s
Epoch: 34 | Train loss: -1514.1350836925526 | Eval WT: 4384.552 | Eval moves: 63.244 | 3s
Epoch: 35 | Train loss: -1310.967376830147 | Eval WT: 4384.395 | Eval moves: 63.153 | 3s
Epoch: 36 | Train loss: -1197.620114680565 | Eval WT: 4379.493 | Eval moves: 63.074 | 3s
Epoch: 37 | Train loss: -1125.1786827283995 | Eval WT: 4372.653 | Eval moves: 63.01 | 3s
Epoch: 38 | Train loss: -1192.9101769993167 | Eval WT: 4368.529 | Eval moves: 62.946 | 3s
Epoch: 39 | Train loss: -1313.075309937122 | Eval WT: 4363.251 | Eval moves: 62.896 | 4s
Epoch: 40 | Train loss: -1060.2749669259802 | Eval WT: 4355.852 | Eval moves: 62.844 | 4s
Epoch: 41 | Train loss: -1110.237784291217 | Eval WT: 4350.055 | Eval moves: 62.785 | 4s
