lr: 5e-06
epochs: 500
batch_num: 2
for_loop_num: 32
batch_size: 2
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(280,4,16,6).pt
eval_n_bays: 4
eval_n_rows: 16
empty_priority: 999
n_containers: 280
n_bays: 4
n_rows: 16
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250222_224244
--------------------
Epoch: 0 | Train loss: None | Eval WT: 52853.668 | Eval moves: 538.128 | 11s
Epoch: 1 | Train loss: -56031.885801011216 | Eval WT: 51533.227 | Eval moves: 526.615 | 318s
Epoch: 2 | Train loss: -57163.542631335404 | Eval WT: 50133.328 | Eval moves: 513.925 | 314s
Epoch: 3 | Train loss: -55268.43803318538 | Eval WT: 48841.391 | Eval moves: 501.981 | 309s
Epoch: 4 | Train loss: -61603.848425724864 | Eval WT: 48111.017 | Eval moves: 495.073 | 310s
Epoch: 5 | Train loss: -59787.61851255277 | Eval WT: 47579.226 | Eval moves: 490.45 | 298s
Epoch: 6 | Train loss: -66674.66086895752 | Eval WT: 47279.259 | Eval moves: 487.713 | 296s
Epoch: 7 | Train loss: -72408.7433249778 | Eval WT: 47056.509 | Eval moves: 485.995 | 290s
Epoch: 8 | Train loss: -63978.10300129422 | Eval WT: 46870.773 | Eval moves: 484.048 | 284s
Epoch: 9 | Train loss: -54747.69920673437 | Eval WT: 46663.518 | Eval moves: 482.437 | 276s
Epoch: 10 | Train loss: -48432.30002445298 | Eval WT: 46519.79 | Eval moves: 481.161 | 270s
Epoch: 11 | Train loss: -45217.632933746056 | Eval WT: 46345.556 | Eval moves: 479.929 | 291s
Epoch: 12 | Train loss: -40035.22305791712 | Eval WT: 46268.979 | Eval moves: 479.039 | 259s
Epoch: 13 | Train loss: -40712.466312655466 | Eval WT: 46175.419 | Eval moves: 478.438 | 255s
Epoch: 14 | Train loss: -34944.52596084695 | Eval WT: 46104.8 | Eval moves: 477.856 | 255s
Epoch: 15 | Train loss: -34982.327796369 | Eval WT: 45987.753 | Eval moves: 477.305 | 252s
Epoch: 16 | Train loss: -33073.47690802202 | Eval WT: 45971.208 | Eval moves: 477.148 | 251s
Epoch: 17 | Train loss: -31412.41046654572 | Eval WT: 45920.381 | Eval moves: 476.759 | 252s
Epoch: 18 | Train loss: -26335.873163741504 | Eval WT: 45882.295 | Eval moves: 476.406 | 244s
Epoch: 19 | Train loss: -29857.688539890907 | Eval WT: 45838.882 | Eval moves: 476.012 | 245s
Epoch: 20 | Train loss: -28133.188511988097 | Eval WT: 45792.454 | Eval moves: 475.896 | 247s
Epoch: 21 | Train loss: -27121.181727634517 | Eval WT: 45764.508 | Eval moves: 475.585 | 270s
Epoch: 22 | Train loss: -25392.683698083492 | Eval WT: 45746.042 | Eval moves: 475.392 | 239s
Epoch: 23 | Train loss: -23900.64601122864 | Eval WT: 45706.909 | Eval moves: 475.126 | 239s
Epoch: 24 | Train loss: -22352.118649948563 | Eval WT: 45670.773 | Eval moves: 474.959 | 240s
Epoch: 25 | Train loss: -22811.33687451057 | Eval WT: 45636.165 | Eval moves: 474.557 | 239s
Epoch: 26 | Train loss: -20903.720107477082 | Eval WT: 45583.502 | Eval moves: 474.302 | 236s
Epoch: 27 | Train loss: -21213.4194236083 | Eval WT: 45537.321 | Eval moves: 474.018 | 234s
Epoch: 28 | Train loss: -19231.463166084694 | Eval WT: 45521.69 | Eval moves: 473.727 | 234s
