lr: 5e-06
epochs: 500
batch_num: 2
batch_size: 64
mini_batch_num: 32
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(280,4,16,6).pt
eval_n_bays: 4
eval_n_rows: 16
empty_priority: None
n_containers: 280
n_bays: 4
n_rows: 16
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250222_232903
--------------------
Epoch: 0 | Train loss: None | Eval WT: 57888.065 | Eval moves: 585.745 | 17s
Epoch: 1 | Train loss: -50855.99881531661 | Eval WT: 57492.969 | Eval moves: 581.84 | 515s
Epoch: 2 | Train loss: -49210.80085502663 | Eval WT: 57053.92 | Eval moves: 577.568 | 513s
Epoch: 3 | Train loss: -50224.089880334235 | Eval WT: 56595.182 | Eval moves: 572.986 | 504s
Epoch: 4 | Train loss: -46234.25260575314 | Eval WT: 56089.353 | Eval moves: 568.577 | 503s
Epoch: 5 | Train loss: -44626.69404155562 | Eval WT: 55635.224 | Eval moves: 563.684 | 500s
Epoch: 6 | Train loss: -42818.786030421674 | Eval WT: 55028.114 | Eval moves: 558.36 | 494s
Epoch: 7 | Train loss: -43758.855841595316 | Eval WT: 54644.693 | Eval moves: 554.435 | 488s
Epoch: 8 | Train loss: -39828.69096039583 | Eval WT: 54063.026 | Eval moves: 549.247 | 482s
Epoch: 9 | Train loss: -38952.405629646455 | Eval WT: 53549.765 | Eval moves: 544.24 | 480s
Epoch: 10 | Train loss: -35767.09739078582 | Eval WT: 52980.787 | Eval moves: 538.838 | 476s
Epoch: 11 | Train loss: -34392.3047325983 | Eval WT: 52464.648 | Eval moves: 534.109 | 517s
Epoch: 12 | Train loss: -33222.65188256781 | Eval WT: 51841.018 | Eval moves: 528.252 | 468s
Epoch: 13 | Train loss: -36291.24163790185 | Eval WT: 51257.3 | Eval moves: 522.812 | 465s
Epoch: 14 | Train loss: -32068.16015784366 | Eval WT: 50718.575 | Eval moves: 517.903 | 464s
Epoch: 15 | Train loss: -34168.476069930235 | Eval WT: 50221.659 | Eval moves: 513.661 | 459s
