lr: 5e-06
epochs: 500
batch_size: 64
batch_num: 100
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
empty_priority: None
n_containers: 35
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250222_200935
--------------------
Epoch: 0 | Train loss: None | Eval WT: 5378.936 | Eval moves: 71.596 | 2s
Epoch: 1 | Train loss: -1435.2917338339591 | Eval WT: 4245.265 | Eval moves: 61.924 | 166s
Epoch: 2 | Train loss: -576.7807059876607 | Eval WT: 3979.887 | Eval moves: 60.382 | 141s
Epoch: 3 | Train loss: -391.20584208922736 | Eval WT: 3783.283 | Eval moves: 60.271 | 133s
Epoch: 4 | Train loss: -393.5479806381814 | Eval WT: 3539.829 | Eval moves: 61.161 | 134s
Epoch: 5 | Train loss: -421.0150866152981 | Eval WT: 3330.524 | Eval moves: 63.863 | 141s
Epoch: 6 | Train loss: -370.488514319855 | Eval WT: 3215.763 | Eval moves: 65.841 | 150s
Epoch: 7 | Train loss: -286.0677172495267 | Eval WT: 3166.769 | Eval moves: 66.353 | 157s
Epoch: 8 | Train loss: -227.9463204094792 | Eval WT: 3144.513 | Eval moves: 66.484 | 154s
Epoch: 9 | Train loss: -196.85940285309408 | Eval WT: 3126.502 | Eval moves: 66.357 | 155s
Epoch: 10 | Train loss: -169.8383756699111 | Eval WT: 3115.686 | Eval moves: 66.244 | 155s
Epoch: 11 | Train loss: -158.06628835737388 | Eval WT: 3108.35 | Eval moves: 66.079 | 193s
Epoch: 12 | Train loss: -149.66366657382108 | Eval WT: 3100.09 | Eval moves: 65.952 | 155s
Epoch: 13 | Train loss: -141.09231138389438 | Eval WT: 3097.613 | Eval moves: 66.036 | 152s
Epoch: 14 | Train loss: -133.304074343859 | Eval WT: 3092.412 | Eval moves: 65.904 | 152s
Epoch: 15 | Train loss: -126.20685213128365 | Eval WT: 3088.806 | Eval moves: 65.853 | 151s
Epoch: 16 | Train loss: -123.17362865339328 | Eval WT: 3086.413 | Eval moves: 65.775 | 151s
