lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(46,2,4,8).pt
eval_n_bays: 2
eval_n_rows: 4
empty_priority: None
n_containers: 46
n_bays: 2
n_rows: 4
n_tiers: 8
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250224_150840
--------------------
Epoch: 0 | Train loss: None | Eval WT: 10554.836 | Eval moves: 142.125 | 3s
Epoch: 1 | Train loss: -4561.0238922518965 | Eval WT: 6694.95 | Eval moves: 94.09 | 307s
Epoch: 2 | Train loss: -1733.774275429018 | Eval WT: 6409.052 | Eval moves: 91.626 | 230s
Epoch: 3 | Train loss: -970.5674279342819 | Eval WT: 6036.359 | Eval moves: 88.965 | 217s
Epoch: 4 | Train loss: -820.890968627444 | Eval WT: 5723.508 | Eval moves: 87.962 | 205s
Epoch: 5 | Train loss: -724.3003172257287 | Eval WT: 5472.396 | Eval moves: 88.402 | 200s
Epoch: 6 | Train loss: -699.5157622747101 | Eval WT: 5185.452 | Eval moves: 90.139 | 203s
Epoch: 7 | Train loss: -695.5127469008872 | Eval WT: 4971.009 | Eval moves: 93.297 | 209s
Epoch: 8 | Train loss: -637.0372073128202 | Eval WT: 4814.174 | Eval moves: 96.014 | 219s
Epoch: 9 | Train loss: -571.5725805778912 | Eval WT: 4742.687 | Eval moves: 97.122 | 227s
Epoch: 10 | Train loss: -525.4127866303512 | Eval WT: 4677.691 | Eval moves: 97.662 | 231s
Epoch: 11 | Train loss: -479.25628051695776 | Eval WT: 4637.25 | Eval moves: 98.481 | 279s
Epoch: 12 | Train loss: -440.65510642480035 | Eval WT: 4611.398 | Eval moves: 98.78 | 235s
Epoch: 13 | Train loss: -413.32120435552235 | Eval WT: 4601.242 | Eval moves: 98.343 | 233s
